co2_id,date,site_depart,site_arrivee,mode_transport,distance_km,masse_t,co2_kg,co2_kg_baseline,reduction_pct,fe_kg_co2_t_km,conforme_iso14001,produit
CO2-0064,2025-02-07,Casablanca Port,Laayoune,Route,900,94.7,8182.08,11773.28,30.5,0.096,True,Phosphate brut
CO2-0065,2025-01-30,Youssoufia,Khouribga,Route,574,150.7,8996.19,11741.82,23.4,0.104,True,Urée
CO2-0066,2024-03-23,Khouribga,Casablanca Port,Route,120,434.3,5003.14,7446.79,32.8,0.096,True,Phosphate brut
CO2-0067,2024-03-17,Laayoune,Youssoufia,Rail,555,454.5,5549.44,8013.86,30.8,0.022,True,Sulfate d'ammonium
CO2-0068,2024-08-20,Safi,Laayoune,Route,509,292.0,15457.31,18987.69,18.6,0.104,True,TSP
CO2-0069,2024-02-14,Jorf Lasfar,Safi,Maritime,75,392.0,205.8,278.34,26.1,0.007,True,Urée
CO2-0070,2024-10-14,Youssoufia,Jorf Lasfar,Route,90,180.2,1686.67,2093.8,19.4,0.104,True,Phosphate brut
CO2-0071,2024-11-30,Safi,Jorf Lasfar,Route,75,122.7,957.06,1433.01,33.2,0.104,True,Acide phosphorique
CO2-0072,2024-09-11,Youssoufia,Casablanca Port,Rail,424,96.4,899.22,1265.84,29.0,0.022,True,MAP
CO2-0073,2024-04-26,Khouribga,Youssoufia,Rail,895,374.0,8368.25,11624.58,28.0,0.025,True,NPS
CO2-0074,2024-01-02,Khouribga,Laayoune,Maritime,235,496.1,816.08,1113.89,26.7,0.007,True,DAP
CO2-0075,2024-10-04,Youssoufia,Safi,Route,60,349.1,2010.82,2881.75,30.2,0.096,True,MAP
CO2-0076,2025-03-28,Khouribga,Benguerir,Route,80,68.0,522.24,641.74,18.6,0.096,True,DAP
CO2-0077,2024-10-30,Jorf Lasfar,Khouribga,Rail,180,101.6,402.34,598.87,32.8,0.022,True,NPS
CO2-0078,2025-02-12,Khouribga,Safi,Maritime,155,315.4,391.1,479.13,18.4,0.008,True,Acide phosphorique
CO2-0079,2024-05-02,Youssoufia,Khouribga,Route,700,429.1,31238.48,44521.47,29.8,0.104,True,MAP
CO2-0080,2024-11-01,Safi,Casablanca Port,Rail,785,156.2,2697.57,4041.65,33.3,0.022,True,TSP
CO2-0081,2024-08-25,Casablanca Port,Safi,Route,447,476.8,22165.48,28876.71,23.2,0.104,True,Urée
CO2-0082,2024-07-05,Safi,Youssoufia,Route,60,176.8,1018.37,1386.46,26.5,0.096,True,TSP
CO2-0083,2024-04-24,Khouribga,Youssoufia,Rail,681,440.1,7492.7,9273.61,19.2,0.025,True,NPS
CO2-0084,2024-09-15,Youssoufia,Benguerir,Maritime,155,155.6,168.83,243.23,30.6,0.007,True,Phosphate brut
CO2-0085,2025-03-04,Casablanca Port,Safi,Route,499,78.9,4094.59,5958.79,31.3,0.104,True,Acide phosphorique
CO2-0086,2024-05-01,Casablanca Port,Youssoufia,Route,751,36.2,2827.36,3779.55,25.2,0.104,True,Sulfate d'ammonium
CO2-0087,2024-07-14,Khouribga,Youssoufia,Rail,941,429.5,10103.99,13502.42,25.2,0.025,True,NPS
CO2-0088,2024-09-08,Safi,Laayoune,Route,882,360.4,33058.77,44872.79,26.3,0.104,True,Sulfate d'ammonium
CO2-0089,2025-03-16,Casablanca Port,Laayoune,Route,900,171.1,16014.96,24084.05,33.5,0.104,True,TSP
CO2-0090,2024-09-16,Khouribga,Benguerir,Route,80,64.7,496.9,622.05,20.1,0.096,True,TSP
CO2-0091,2024-06-06,Youssoufia,Casablanca Port,Maritime,587,479.4,2251.26,3269.45,31.1,0.008,True,Urée
CO2-0092,2024-10-16,Khouribga,Youssoufia,Maritime,449,361.5,1136.19,1497.51,24.1,0.007,True,MAP
CO2-0093,2025-01-27,Safi,Casablanca Port,Rail,296,90.9,591.94,766.98,22.8,0.022,True,Urée
CO2-0094,2024-01-31,Jorf Lasfar,Casablanca Port,Maritime,95,114.4,86.94,118.17,26.4,0.008,True,Acide phosphorique
CO2-0095,2024-11-12,Jorf Lasfar,Safi,Rail,75,179.7,336.94,473.83,28.9,0.025,True,MAP
CO2-0096,2024-09-01,Safi,Jorf Lasfar,Route,75,294.5,2297.1,3427.69,33.0,0.104,True,Phosphate brut
CO2-0097,2024-06-27,Safi,Benguerir,Route,95,429.0,3912.48,5610.31,30.3,0.096,True,Acide phosphorique
CO2-0098,2024-06-21,Safi,Benguerir,Rail,95,130.0,308.75,473.38,34.8,0.025,True,NPS
CO2-0099,2024-02-29,Youssoufia,Jorf Lasfar,Rail,90,42.9,96.52,142.93,32.5,0.025,True,Acide phosphorique
CO2-0100,2024-08-25,Jorf Lasfar,Casablanca Port,Route,95,260.8,2576.7,3785.47,31.9,0.104,True,DAP
CO2-0101,2024-08-11,Safi,Casablanca Port,Rail,626,337.4,4646.67,6844.02,32.1,0.022,True,Phosphate brut
CO2-0102,2024-06-04,Safi,Casablanca Port,Maritime,416,105.1,306.05,368.78,17.0,0.007,True,Urée
CO2-0103,2024-01-17,Khouribga,Safi,Maritime,155,474.4,514.72,635.58,19.0,0.007,True,Acide phosphorique
CO2-0104,2024-05-05,Youssoufia,Laayoune,Route,767,143.4,10558.83,16018.63,34.1,0.096,True,Phosphate brut
CO2-0105,2024-08-12,Casablanca Port,Youssoufia,Route,179,387.2,6653.64,8705.11,23.6,0.096,True,MAP
CO2-0106,2024-02-21,Khouribga,Benguerir,Rail,80,477.7,955.4,1406.86,32.1,0.025,True,Acide phosphorique
CO2-0107,2025-02-19,Youssoufia,Khouribga,Route,425,78.3,3460.86,4716.65,26.6,0.104,True,MAP
CO2-0108,2024-10-03,Safi,Laayoune,Maritime,364,397.0,1156.06,1706.52,32.3,0.008,True,Sulfate d'ammonium
CO2-0109,2024-01-15,Youssoufia,Jorf Lasfar,Rail,90,473.6,937.73,1424.24,34.2,0.022,True,MAP
CO2-0110,2025-02-19,Khouribga,Benguerir,Rail,80,97.0,170.72,216.47,21.1,0.022,True,Sulfate d'ammonium
CO2-0111,2024-03-21,Khouribga,Safi,Route,155,383.2,6177.18,9157.96,32.5,0.104,True,Urée
CO2-0112,2024-02-21,Youssoufia,Benguerir,Rail,715,326.0,5127.98,7905.54,35.1,0.022,True,Phosphate brut
CO2-0113,2024-10-27,Laayoune,Casablanca Port,Route,900,390.0,36504.0,47921.54,23.8,0.104,True,Sulfate d'ammonium
CO2-0114,2025-03-19,Youssoufia,Khouribga,Rail,543,110.3,1497.32,1983.05,24.5,0.025,True,Sulfate d'ammonium
CO2-0115,2024-09-01,Casablanca Port,Benguerir,Route,847,422.0,37173.14,55822.99,33.4,0.104,True,MAP
CO2-0116,2024-03-31,Youssoufia,Khouribga,Maritime,613,289.5,1419.71,1998.26,29.0,0.008,True,NPS
CO2-0117,2024-04-03,Safi,Casablanca Port,Maritime,823,385.6,2538.79,3601.86,29.5,0.008,True,DAP
CO2-0118,2024-11-26,Laayoune,Casablanca Port,Route,900,169.8,14670.72,19111.66,23.2,0.096,True,MAP
CO2-0119,2024-10-21,Khouribga,Safi,Maritime,155,354.0,384.09,595.24,35.5,0.007,True,Acide phosphorique
CO2-0120,2025-01-22,Benguerir,Jorf Lasfar,Rail,110,194.6,535.15,699.94,23.5,0.025,True,Acide phosphorique
CO2-0121,2024-03-13,Safi,Khouribga,Rail,155,177.3,687.04,1033.53,33.5,0.025,True,MAP
CO2-0122,2024-09-04,Benguerir,Khouribga,Rail,80,388.6,777.2,1174.3,33.8,0.025,True,TSP
CO2-0123,2024-02-08,Jorf Lasfar,Youssoufia,Maritime,90,57.8,41.62,53.97,22.9,0.008,True,MAP
CO2-0124,2025-02-28,Laayoune,Casablanca Port,Maritime,900,437.7,3151.44,4109.55,23.3,0.008,True,Acide phosphorique
CO2-0125,2024-11-22,Khouribga,Jorf Lasfar,Rail,180,461.0,2074.5,2556.9,18.9,0.025,True,Sulfate d'ammonium
CO2-0126,2024-01-04,Benguerir,Laayoune,Rail,220,53.0,291.5,360.7,19.2,0.025,True,NPS
CO2-0127,2024-07-24,Khouribga,Jorf Lasfar,Route,180,280.1,4840.13,6077.18,20.4,0.096,True,Phosphate brut
CO2-0128,2025-03-17,Khouribga,Safi,Rail,155,331.3,1129.73,1632.74,30.8,0.022,True,MAP
CO2-0129,2024-04-08,Casablanca Port,Khouribga,Route,120,369.8,4615.1,5811.7,20.6,0.104,True,Phosphate brut
CO2-0130,2025-03-23,Safi,Khouribga,Maritime,155,440.0,477.4,705.66,32.3,0.007,True,Phosphate brut
CO2-0131,2024-10-28,Safi,Casablanca Port,Rail,140,226.3,697.0,883.35,21.1,0.022,True,Acide phosphorique
CO2-0132,2025-03-25,Benguerir,Youssoufia,Route,684,217.5,15472.08,20124.26,23.1,0.104,True,Phosphate brut
CO2-0133,2025-01-21,Jorf Lasfar,Khouribga,Maritime,180,142.4,179.42,215.4,16.7,0.007,True,MAP
CO2-0134,2024-04-09,Safi,Casablanca Port,Rail,844,141.4,2625.52,3680.49,28.7,0.022,True,MAP
CO2-0135,2024-07-13,Casablanca Port,Youssoufia,Rail,808,39.3,698.6,1020.45,31.5,0.022,True,MAP
CO2-0136,2024-03-28,Casablanca Port,Safi,Rail,303,152.7,1017.9,1426.18,28.6,0.022,True,Phosphate brut
CO2-0137,2024-09-22,Casablanca Port,Khouribga,Maritime,120,218.4,183.46,233.4,21.4,0.007,True,TSP
CO2-0138,2024-10-13,Youssoufia,Laayoune,Maritime,884,79.2,490.09,643.87,23.9,0.007,True,Urée
CO2-0139,2024-06-05,Safi,Laayoune,Maritime,776,152.0,943.62,1415.63,33.3,0.008,True,TSP
CO2-0140,2024-07-07,Youssoufia,Jorf Lasfar,Route,90,437.6,3780.86,5185.33,27.1,0.096,True,Acide phosphorique
CO2-0141,2024-05-03,Safi,Khouribga,Route,155,228.0,3392.64,4144.08,18.1,0.096,True,DAP
CO2-0142,2024-03-26,Casablanca Port,Safi,Maritime,376,117.8,354.34,534.51,33.7,0.008,True,TSP
CO2-0143,2025-01-02,Benguerir,Safi,Rail,95,389.1,813.22,1199.49,32.2,0.022,True,MAP
CO2-0144,2024-12-15,Jorf Lasfar,Safi,Route,75,329.2,2370.24,3010.97,21.3,0.096,True,Acide phosphorique
CO2-0145,2024-06-20,Laayoune,Safi,Route,356,97.0,3591.33,4860.31,26.1,0.104,True,TSP
CO2-0146,2025-03-04,Khouribga,Benguerir,Maritime,80,204.6,114.58,157.94,27.5,0.007,True,TSP
CO2-0147,2024-03-17,Khouribga,Safi,Maritime,155,270.6,293.6,380.25,22.8,0.007,True,Acide phosphorique
CO2-0148,2024-03-24,Casablanca Port,Safi,Rail,144,292.2,1051.92,1351.12,22.1,0.025,True,Acide phosphorique
CO2-0149,2025-03-22,Benguerir,Youssoufia,Maritime,649,430.8,1957.12,2895.85,32.4,0.007,True,TSP
CO2-0150,2024-01-16,Casablanca Port,Safi,Maritime,83,91.6,60.82,79.95,23.9,0.008,True,Urée
CO2-0151,2024-03-25,Jorf Lasfar,Benguerir,Rail,110,112.8,310.2,451.78,31.3,0.025,True,Urée
CO2-0152,2024-11-08,Benguerir,Laayoune,Route,680,115.7,7552.9,10834.2,30.3,0.096,True,Sulfate d'ammonium
CO2-0153,2024-07-09,Khouribga,Jorf Lasfar,Route,180,114.2,2137.82,2808.35,23.9,0.104,True,Sulfate d'ammonium
CO2-0154,2024-06-25,Benguerir,Jorf Lasfar,Rail,110,180.0,435.6,588.4,26.0,0.022,True,DAP
CO2-0155,2024-06-28,Casablanca Port,Khouribga,Rail,120,450.0,1350.0,1814.07,25.6,0.025,True,DAP
CO2-0156,2024-02-26,Youssoufia,Jorf Lasfar,Route,90,498.1,4662.22,5762.11,19.1,0.104,True,NPS
CO2-0157,2024-10-15,Casablanca Port,Youssoufia,Rail,835,123.0,2259.51,2788.01,19.0,0.022,True,Acide phosphorique
CO2-0158,2024-12-15,Khouribga,Casablanca Port,Route,120,495.8,6187.58,9359.25,33.9,0.104,True,MAP
CO2-0159,2024-07-13,Benguerir,Youssoufia,Maritime,201,64.9,104.36,154.13,32.3,0.008,True,Phosphate brut
CO2-0160,2024-01-05,Khouribga,Jorf Lasfar,Maritime,180,279.7,352.42,537.15,34.4,0.007,True,NPS
CO2-0161,2025-01-26,Laayoune,Youssoufia,Route,418,68.0,2956.1,4150.39,28.8,0.104,True,Acide phosphorique
CO2-0162,2024-12-17,Khouribga,Jorf Lasfar,Maritime,180,468.6,590.44,823.49,28.3,0.007,True,TSP
CO2-0163,2024-08-01,Khouribga,Laayoune,Rail,722,294.4,5313.92,6734.81,21.1,0.025,True,TSP
CO2-0164,2024-06-11,Youssoufia,Laayoune,Rail,830,106.1,2201.57,2794.18,21.2,0.025,True,Acide phosphorique
CO2-0165,2024-04-14,Safi,Khouribga,Maritime,155,128.3,139.21,168.59,17.4,0.007,True,Phosphate brut
CO2-0166,2024-04-29,Benguerir,Laayoune,Route,934,349.6,31346.53,45163.17,30.6,0.096,True,TSP
CO2-0167,2025-02-18,Safi,Jorf Lasfar,Rail,75,199.8,374.62,472.5,20.7,0.025,True,Urée
CO2-0168,2024-11-18,Khouribga,Youssoufia,Rail,296,55.1,358.81,444.19,19.2,0.022,True,Phosphate brut
CO2-0169,2025-03-07,Casablanca Port,Youssoufia,Route,810,269.7,20971.87,31653.68,33.7,0.096,True,Sulfate d'ammonium
CO2-0170,2024-06-16,Safi,Youssoufia,Maritime,60,337.0,161.76,248.1,34.8,0.008,True,Urée
CO2-0171,2024-06-15,Youssoufia,Casablanca Port,Route,365,171.6,6513.94,9928.38,34.4,0.104,True,DAP
CO2-0172,2024-12-27,Youssoufia,Jorf Lasfar,Route,90,390.8,3376.51,5147.61,34.4,0.096,True,MAP
CO2-0173,2025-02-18,Laayoune,Casablanca Port,Rail,900,130.3,2579.94,3953.36,34.7,0.022,True,MAP
CO2-0174,2024-04-15,Jorf Lasfar,Safi,Route,75,298.7,2329.86,2838.91,17.9,0.104,True,TSP
CO2-0175,2025-01-29,Jorf Lasfar,Youssoufia,Rail,90,455.8,902.48,1354.09,33.4,0.022,True,MAP
CO2-0176,2025-02-21,Youssoufia,Casablanca Port,Maritime,165,182.8,241.3,297.46,18.9,0.008,True,Acide phosphorique
CO2-0177,2024-11-28,Benguerir,Casablanca Port,Rail,927,105.6,2153.61,2954.06,27.1,0.022,True,Phosphate brut
CO2-0178,2024-04-24,Youssoufia,Benguerir,Maritime,731,62.9,321.86,456.62,29.5,0.007,True,MAP
CO2-0179,2024-09-06,Safi,Laayoune,Maritime,639,58.5,261.67,356.22,26.5,0.007,True,Acide phosphorique
CO2-0180,2024-01-22,Laayoune,Benguerir,Rail,113,387.4,1094.4,1610.25,32.0,0.025,True,DAP
CO2-0181,2024-03-03,Laayoune,Casablanca Port,Rail,900,174.8,3933.0,4833.35,18.6,0.025,True,Phosphate brut
CO2-0182,2024-10-15,Safi,Khouribga,Route,155,449.3,7242.72,8836.38,18.0,0.104,True,DAP
CO2-0183,2024-03-30,Casablanca Port,Youssoufia,Route,400,201.9,7752.96,11459.97,32.3,0.096,True,Acide phosphorique
CO2-0184,2024-04-24,Laayoune,Benguerir,Route,243,60.8,1418.34,2000.03,29.1,0.096,True,NPS
CO2-0185,2024-05-16,Benguerir,Jorf Lasfar,Maritime,110,56.8,49.98,74.4,32.8,0.008,True,Acide phosphorique
CO2-0186,2024-02-01,Jorf Lasfar,Casablanca Port,Rail,95,202.1,479.99,661.19,27.4,0.025,True,NPS
CO2-0187,2024-07-21,Khouribga,Youssoufia,Maritime,130,21.3,22.15,33.45,33.8,0.008,True,Urée
CO2-0188,2025-02-04,Benguerir,Laayoune,Route,170,193.5,3157.92,4093.54,22.9,0.096,True,TSP
CO2-0189,2024-04-25,Safi,Jorf Lasfar,Maritime,75,133.2,79.92,118.22,32.4,0.008,True,Phosphate brut
CO2-0190,2024-05-12,Benguerir,Safi,Maritime,95,195.8,130.21,192.03,32.2,0.007,True,Urée
CO2-0191,2024-12-30,Casablanca Port,Khouribga,Maritime,120,38.9,37.34,45.5,17.9,0.008,True,Phosphate brut
CO2-0192,2024-10-02,Youssoufia,Jorf Lasfar,Maritime,90,288.0,207.36,305.91,32.2,0.008,True,DAP
CO2-0193,2024-02-20,Laayoune,Jorf Lasfar,Maritime,820,108.7,623.94,761.99,18.1,0.007,True,DAP
CO2-0194,2025-03-07,Khouribga,Jorf Lasfar,Route,180,273.7,4729.54,7190.47,34.2,0.096,True,DAP
CO2-0195,2024-05-17,Benguerir,Laayoune,Maritime,344,481.8,1160.17,1614.51,28.1,0.007,True,NPS
CO2-0196,2024-05-25,Safi,Youssoufia,Maritime,60,201.5,96.72,133.95,27.8,0.008,True,MAP
CO2-0197,2024-04-19,Safi,Benguerir,Rail,95,343.0,716.87,1035.04,30.7,0.022,True,Acide phosphorique
CO2-0198,2024-08-26,Casablanca Port,Youssoufia,Maritime,665,329.7,1754.0,2355.05,25.5,0.008,True,TSP
CO2-0199,2024-10-13,Khouribga,Benguerir,Route,80,364.2,3030.14,4402.15,31.2,0.104,True,Urée
CO2-0200,2024-12-24,Youssoufia,Khouribga,Route,876,140.9,11849.13,17841.3,33.6,0.096,True,Urée
CO2-0201,2024-10-17,Benguerir,Laayoune,Route,240,190.2,4747.39,6955.78,31.7,0.104,True,DAP
CO2-0202,2024-09-21,Youssoufia,Jorf Lasfar,Rail,90,344.4,681.91,948.0,28.1,0.022,True,TSP
CO2-0203,2024-12-30,Benguerir,Youssoufia,Maritime,103,341.0,245.86,327.5,24.9,0.007,True,Urée
CO2-0204,2025-02-15,Laayoune,Benguerir,Route,605,296.3,17209.1,23693.93,27.4,0.096,True,DAP
CO2-0205,2025-03-07,Laayoune,Youssoufia,Maritime,191,196.8,263.12,379.97,30.8,0.007,True,TSP
CO2-0206,2024-12-27,Laayoune,Benguerir,Route,822,486.8,38414.36,54299.98,29.3,0.096,True,DAP
CO2-0207,2024-02-14,Casablanca Port,Laayoune,Route,900,159.1,13746.24,21273.6,35.4,0.096,True,Acide phosphorique
CO2-0208,2024-10-02,Youssoufia,Benguerir,Rail,293,485.5,3129.53,3968.29,21.1,0.022,True,Acide phosphorique
CO2-0209,2024-06-21,Jorf Lasfar,Benguerir,Maritime,110,209.5,161.31,239.12,32.5,0.007,True,MAP
CO2-0210,2024-12-28,Khouribga,Youssoufia,Maritime,694,238.3,1157.66,1681.43,31.2,0.007,True,MAP
CO2-0211,2024-03-12,Jorf Lasfar,Khouribga,Maritime,180,135.7,195.41,277.64,29.6,0.008,True,Phosphate brut
CO2-0212,2024-06-24,Safi,Youssoufia,Rail,60,329.1,434.41,527.25,17.6,0.022,True,Urée
CO2-0213,2025-01-27,Laayoune,Khouribga,Maritime,158,479.0,529.77,727.82,27.2,0.007,True,Sulfate d'ammonium
CO2-0214,2025-03-05,Safi,Khouribga,Route,155,432.0,6963.84,10112.19,31.1,0.104,True,DAP
CO2-0215,2024-01-23,Khouribga,Benguerir,Rail,80,32.8,57.73,81.12,28.8,0.022,True,Sulfate d'ammonium
CO2-0216,2025-02-10,Laayoune,Safi,Rail,642,81.4,1306.47,1990.43,34.4,0.025,True,Phosphate brut
CO2-0217,2025-01-21,Casablanca Port,Safi,Route,563,325.7,17603.43,22749.98,22.6,0.096,True,Acide phosphorique
CO2-0218,2024-01-03,Laayoune,Jorf Lasfar,Rail,820,455.8,9343.9,14098.06,33.7,0.025,True,Phosphate brut
CO2-0219,2024-02-15,Safi,Benguerir,Maritime,95,186.0,141.36,173.4,18.5,0.008,True,MAP
CO2-0220,2024-08-10,Laayoune,Khouribga,Maritime,734,390.5,2293.02,2838.99,19.2,0.008,True,Acide phosphorique
