action_id,date_heure,type_action,categorie,anomalie_id,scenario_selectionne,site,produit,gain_principal,economie_usd,co2_evite_kg,temps_reaction_min,norme_iso,mode,operateur
AH-0030,2024-01-27 03:51:13,Commande anticipée,Stock,ANO-0136,SIM-0045-S3,Jorf Lasfar,MAP,"Rupture évitée, +8% service",22460.0,125.5,4.6,ISO 42001,Automatique,Fatima Z.
AH-0031,2024-11-15 16:30:57,Changement fournisseur,Appro.,ANO-0080,SIM-0021-S3,Youssoufia,Sulfate d'ammonium,Délai normalisé,44809.0,8.0,1.8,ISO 14001,Automatique,Système IA
AH-0032,2025-03-04 11:41:47,Commande anticipée,Stock,ANO-0180,SIM-0043-S3,Khouribga,MAP,"Rupture évitée, +8% service",30961.0,169.2,3.3,ISO 45001,Automatique,Système IA
AH-0033,2024-11-04 19:28:46,Alerte SST déclenchée,Sécurité,ANO-0030,SIM-0114-S3,Khouribga,DAP,"Incident évité, ISO 45001",21016.0,35.3,0.7,ISO 42001,Automatique,Système IA
AH-0034,2024-04-09 06:07:08,Reroutage automatique,Logistique,ANO-0144,SIM-0032-S3,Jorf Lasfar,TSP,"Délai respecté, −12 kg CO₂",20731.0,10.2,3.8,ISO 14001,Automatique,Ahmed B.
AH-0035,2024-11-27 19:52:40,Alerte qualité bloquage,Qualité,ANO-0018,SIM-0045-S3,Khouribga,TSP,"Lot retenu, non-conformité évitée",1516.0,163.3,4.8,ISO 45001,Automatique,Karim M.
AH-0036,2024-09-09 12:20:46,Rapport ISO auto-généré,Qualité,ANO-0058,SIM-0105-S3,Laayoune,Acide phosphorique,Conformité ISO 9001 PDCA,14180.0,131.9,4.9,ISO 45001,Automatique,Ahmed B.
AH-0037,2024-11-21 10:00:58,Simulation Monte-Carlo,IA,ANO-0057,SIM-0110-S3,Casablanca Port,Acide phosphorique,Scénario optimal sélectionné,17350.0,174.1,1.0,ISO 9001,Automatique,Système IA
AH-0038,2025-01-22 18:08:46,Suspension route CO₂,Environnement,ANO-0185,SIM-0096-S3,Laayoune,Phosphate brut,−28% émissions route,43389.0,59.1,4.3,ISO 45001,Automatique,Système IA
AH-0039,2024-03-05 12:36:52,Rapport ISO auto-généré,Qualité,ANO-0126,SIM-0053-S3,Jorf Lasfar,TSP,Conformité ISO 9001 PDCA,7511.0,60.6,1.0,ISO 14001,Human-in-loop,Ahmed B.
AH-0040,2024-12-17 21:42:36,Rapport ISO auto-généré,Qualité,ANO-0001,SIM-0066-S3,Safi,Urée,Conformité ISO 9001 PDCA,31721.0,72.8,2.1,ISO 42001,Human-in-loop,Ahmed B.
AH-0041,2024-02-29 11:42:40,Alerte SST déclenchée,Sécurité,ANO-0160,SIM-0113-S3,Safi,Urée,"Incident évité, ISO 45001",38383.0,82.3,4.4,ISO 45001,Automatique,Fatima Z.
AH-0042,2024-12-28 19:01:50,Simulation Monte-Carlo,IA,ANO-0021,SIM-0085-S3,Youssoufia,DAP,Scénario optimal sélectionné,28832.0,68.3,0.7,ISO 9001,Automatique,Fatima Z.
AH-0043,2025-03-15 08:01:11,Réaffectation véhicule,Logistique,ANO-0124,SIM-0039-S3,Youssoufia,TSP,Livraison maintenue à temps,10741.0,156.2,4.2,ISO 45001,Automatique,Karim M.
AH-0044,2025-03-01 09:33:54,Rapport ISO auto-généré,Qualité,ANO-0040,SIM-0015-S3,Youssoufia,MAP,Conformité ISO 9001 PDCA,15265.0,116.5,4.3,ISO 45001,Automatique,Fatima Z.
AH-0045,2024-05-13 15:34:17,Alerte qualité bloquage,Qualité,ANO-0005,SIM-0052-S3,Casablanca Port,Acide phosphorique,"Lot retenu, non-conformité évitée",36086.0,117.5,0.9,ISO 9001,Automatique,Système IA
AH-0046,2024-05-31 21:35:30,Simulation Monte-Carlo,IA,ANO-0140,SIM-0071-S3,Khouribga,TSP,Scénario optimal sélectionné,20969.0,5.4,3.5,ISO 14001,Automatique,Fatima Z.
AH-0047,2024-08-11 07:23:32,Alerte qualité bloquage,Qualité,ANO-0129,SIM-0112-S3,Laayoune,TSP,"Lot retenu, non-conformité évitée",32636.0,97.4,1.7,ISO 42001,Automatique,Karim M.
AH-0048,2024-07-20 16:36:23,Rapport ISO auto-généré,Qualité,ANO-0199,SIM-0003-S3,Benguerir,MAP,Conformité ISO 9001 PDCA,36782.0,178.8,1.3,ISO 14001,Automatique,Fatima Z.
AH-0049,2024-06-01 07:04:17,Alerte SST déclenchée,Sécurité,ANO-0169,SIM-0096-S3,Benguerir,MAP,"Incident évité, ISO 45001",36136.0,37.6,4.4,ISO 9001,Automatique,Système IA
AH-0050,2025-02-14 00:37:51,Alerte SST déclenchée,Sécurité,ANO-0109,SIM-0001-S3,Laayoune,Phosphate brut,"Incident évité, ISO 45001",22451.0,22.6,3.8,ISO 42001,Automatique,Système IA
AH-0051,2024-05-06 17:26:31,Changement fournisseur,Appro.,ANO-0016,SIM-0090-S3,Youssoufia,MAP,Délai normalisé,26841.0,101.4,3.2,ISO 9001,Automatique,Fatima Z.
AH-0052,2024-01-11 06:11:02,Redistribution stock,Stock,ANO-0054,SIM-0039-S3,Safi,MAP,"−35% CO₂, −18% coût",10983.0,136.3,2.7,ISO 9001,Automatique,Karim M.
AH-0053,2024-11-18 07:03:31,Réaffectation véhicule,Logistique,ANO-0012,SIM-0100-S3,Casablanca Port,MAP,Livraison maintenue à temps,39831.0,137.6,4.5,ISO 14001,Automatique,Fatima Z.
AH-0054,2024-02-09 13:22:36,Alerte qualité bloquage,Qualité,ANO-0185,SIM-0065-S3,Benguerir,MAP,"Lot retenu, non-conformité évitée",26266.0,54.9,4.9,ISO 42001,Human-in-loop,Fatima Z.
AH-0055,2024-01-08 07:42:20,Suspension route CO₂,Environnement,ANO-0161,SIM-0016-S3,Khouribga,Phosphate brut,−28% émissions route,43128.0,64.6,2.0,ISO 14001,Automatique,Système IA
AH-0056,2024-05-09 07:11:03,Simulation Monte-Carlo,IA,ANO-0143,SIM-0068-S3,Casablanca Port,NPS,Scénario optimal sélectionné,23612.0,5.6,1.1,ISO 42001,Automatique,Système IA
AH-0057,2024-12-29 11:11:16,Changement fournisseur,Appro.,ANO-0029,SIM-0054-S3,Khouribga,Urée,Délai normalisé,1432.0,125.8,1.0,ISO 42001,Human-in-loop,Ahmed B.
AH-0058,2024-06-06 12:30:52,Commande anticipée,Stock,ANO-0174,SIM-0077-S3,Laayoune,Urée,"Rupture évitée, +8% service",11459.0,90.8,1.0,ISO 14001,Automatique,Ahmed B.
AH-0059,2024-12-13 12:18:09,Redistribution stock,Stock,ANO-0108,SIM-0072-S3,Laayoune,MAP,"−35% CO₂, −18% coût",40505.0,6.2,4.1,ISO 9001,Automatique,Système IA
AH-0060,2024-09-30 07:51:14,Suspension route CO₂,Environnement,ANO-0120,SIM-0111-S3,Jorf Lasfar,DAP,−28% émissions route,860.0,119.0,3.5,ISO 45001,Automatique,Ahmed B.
AH-0061,2024-11-03 00:12:21,Changement fournisseur,Appro.,ANO-0048,SIM-0021-S3,Laayoune,MAP,Délai normalisé,17703.0,11.7,5.0,ISO 42001,Automatique,Karim M.
AH-0062,2024-11-05 10:54:55,Alerte SST déclenchée,Sécurité,ANO-0171,SIM-0061-S3,Khouribga,Urée,"Incident évité, ISO 45001",36078.0,124.4,2.1,ISO 42001,Automatique,Système IA
AH-0063,2025-03-24 23:53:50,Changement fournisseur,Appro.,ANO-0094,SIM-0090-S3,Casablanca Port,TSP,Délai normalisé,4207.0,14.6,1.0,ISO 42001,Human-in-loop,Ahmed B.
AH-0064,2024-02-26 11:13:09,Rapport ISO auto-généré,Qualité,ANO-0002,SIM-0062-S3,Khouribga,Phosphate brut,Conformité ISO 9001 PDCA,9054.0,13.1,4.7,ISO 45001,Human-in-loop,Ahmed B.
AH-0065,2024-06-13 13:45:13,Alerte SST déclenchée,Sécurité,ANO-0180,SIM-0096-S3,Casablanca Port,MAP,"Incident évité, ISO 45001",27976.0,156.5,3.1,ISO 45001,Automatique,Fatima Z.
AH-0066,2024-02-21 05:33:14,Réaffectation véhicule,Logistique,ANO-0057,SIM-0004-S3,Khouribga,Acide phosphorique,Livraison maintenue à temps,41097.0,134.3,3.2,ISO 9001,Automatique,Fatima Z.
AH-0067,2024-02-06 09:21:38,Changement fournisseur,Appro.,ANO-0038,SIM-0013-S3,Benguerir,MAP,Délai normalisé,17092.0,130.9,3.9,ISO 42001,Automatique,Karim M.
AH-0068,2024-06-28 11:47:59,Changement fournisseur,Appro.,ANO-0171,SIM-0112-S3,Jorf Lasfar,Sulfate d'ammonium,Délai normalisé,10624.0,101.2,0.9,ISO 45001,Automatique,Système IA
AH-0069,2025-01-22 07:51:44,Alerte SST déclenchée,Sécurité,ANO-0108,SIM-0034-S3,Laayoune,TSP,"Incident évité, ISO 45001",22178.0,148.5,3.1,ISO 42001,Human-in-loop,Système IA
AH-0070,2025-01-01 23:16:03,Suspension route CO₂,Environnement,ANO-0064,SIM-0071-S3,Benguerir,Sulfate d'ammonium,−28% émissions route,33552.0,165.0,1.0,ISO 9001,Human-in-loop,Karim M.
AH-0071,2024-03-17 11:48:38,Suspension route CO₂,Environnement,ANO-0035,SIM-0030-S3,Jorf Lasfar,Sulfate d'ammonium,−28% émissions route,34475.0,92.1,0.9,ISO 45001,Automatique,Karim M.
AH-0072,2024-12-24 17:41:25,Redistribution stock,Stock,ANO-0042,SIM-0030-S3,Casablanca Port,Urée,"−35% CO₂, −18% coût",1045.0,56.7,1.8,ISO 45001,Automatique,Karim M.
AH-0073,2024-12-29 22:39:45,Simulation Monte-Carlo,IA,ANO-0037,SIM-0005-S3,Benguerir,MAP,Scénario optimal sélectionné,19981.0,9.8,1.4,ISO 42001,Automatique,Karim M.
AH-0074,2025-01-08 08:36:20,Alerte SST déclenchée,Sécurité,ANO-0137,SIM-0083-S3,Laayoune,Phosphate brut,"Incident évité, ISO 45001",21756.0,131.5,1.5,ISO 42001,Automatique,Ahmed B.
AH-0075,2024-01-13 09:15:00,Réaffectation véhicule,Logistique,ANO-0199,SIM-0024-S3,Safi,Acide phosphorique,Livraison maintenue à temps,36996.0,152.1,2.8,ISO 45001,Automatique,Ahmed B.
AH-0076,2024-02-08 16:32:08,Rapport ISO auto-généré,Qualité,ANO-0042,SIM-0073-S3,Youssoufia,Sulfate d'ammonium,Conformité ISO 9001 PDCA,11828.0,136.6,3.6,ISO 42001,Human-in-loop,Karim M.
AH-0077,2025-03-07 01:57:35,Commande anticipée,Stock,ANO-0133,SIM-0107-S3,Benguerir,DAP,"Rupture évitée, +8% service",20302.0,80.0,1.1,ISO 42001,Automatique,Karim M.
AH-0078,2024-04-21 16:56:24,Changement fournisseur,Appro.,ANO-0123,SIM-0009-S3,Laayoune,Phosphate brut,Délai normalisé,42450.0,41.4,3.0,ISO 42001,Automatique,Ahmed B.
AH-0079,2024-04-07 09:15:32,Suspension route CO₂,Environnement,ANO-0056,SIM-0115-S3,Jorf Lasfar,Urée,−28% émissions route,32547.0,151.3,3.2,ISO 42001,Human-in-loop,Système IA
AH-0080,2025-02-05 13:48:39,Alerte SST déclenchée,Sécurité,ANO-0134,SIM-0051-S3,Jorf Lasfar,Phosphate brut,"Incident évité, ISO 45001",8101.0,126.4,4.0,ISO 14001,Automatique,Fatima Z.
AH-0081,2025-02-11 15:28:16,Redistribution stock,Stock,ANO-0155,SIM-0099-S3,Youssoufia,NPS,"−35% CO₂, −18% coût",9161.0,78.2,0.9,ISO 45001,Automatique,Karim M.
AH-0082,2024-07-18 21:46:07,Rapport ISO auto-généré,Qualité,ANO-0199,SIM-0002-S3,Benguerir,Phosphate brut,Conformité ISO 9001 PDCA,30745.0,134.1,2.4,ISO 9001,Automatique,Système IA
AH-0083,2024-12-25 21:54:22,Alerte qualité bloquage,Qualité,ANO-0128,SIM-0091-S3,Benguerir,Sulfate d'ammonium,"Lot retenu, non-conformité évitée",11610.0,81.4,0.8,ISO 9001,Automatique,Système IA
AH-0084,2024-04-24 07:18:33,Alerte SST déclenchée,Sécurité,ANO-0047,SIM-0062-S3,Youssoufia,Urée,"Incident évité, ISO 45001",33781.0,27.8,3.8,ISO 14001,Automatique,Ahmed B.
AH-0085,2024-04-24 08:28:25,Commande anticipée,Stock,ANO-0124,SIM-0014-S3,Khouribga,MAP,"Rupture évitée, +8% service",37649.0,150.3,3.4,ISO 42001,Automatique,Système IA
AH-0086,2024-03-23 19:18:58,Simulation Monte-Carlo,IA,ANO-0109,SIM-0022-S3,Khouribga,Acide phosphorique,Scénario optimal sélectionné,7261.0,159.5,2.2,ISO 45001,Automatique,Système IA
AH-0087,2025-03-24 06:22:48,Rapport ISO auto-généré,Qualité,ANO-0142,SIM-0030-S3,Khouribga,Sulfate d'ammonium,Conformité ISO 9001 PDCA,8072.0,23.1,2.4,ISO 9001,Automatique,Ahmed B.
AH-0088,2024-01-23 23:33:35,Commande anticipée,Stock,ANO-0047,SIM-0096-S3,Safi,DAP,"Rupture évitée, +8% service",4485.0,176.4,1.7,ISO 42001,Automatique,Système IA
AH-0089,2024-11-24 00:17:46,Redistribution stock,Stock,ANO-0140,SIM-0004-S3,Laayoune,MAP,"−35% CO₂, −18% coût",20386.0,159.6,3.9,ISO 14001,Automatique,Système IA
AH-0090,2024-05-30 16:45:37,Rapport ISO auto-généré,Qualité,ANO-0115,SIM-0114-S3,Laayoune,DAP,Conformité ISO 9001 PDCA,39990.0,124.9,4.7,ISO 45001,Automatique,Ahmed B.
AH-0091,2024-11-16 23:53:21,Commande anticipée,Stock,ANO-0118,SIM-0024-S3,Benguerir,Acide phosphorique,"Rupture évitée, +8% service",17078.0,44.2,1.0,ISO 42001,Automatique,Fatima Z.
AH-0092,2024-12-02 12:00:56,Simulation Monte-Carlo,IA,ANO-0062,SIM-0118-S3,Jorf Lasfar,DAP,Scénario optimal sélectionné,24389.0,172.6,0.6,ISO 42001,Automatique,Fatima Z.
AH-0093,2024-02-17 06:36:59,Alerte SST déclenchée,Sécurité,ANO-0041,SIM-0113-S3,Benguerir,Sulfate d'ammonium,"Incident évité, ISO 45001",5071.0,110.6,3.8,ISO 14001,Automatique,Ahmed B.
AH-0094,2024-05-19 22:50:33,Simulation Monte-Carlo,IA,ANO-0139,SIM-0111-S3,Khouribga,TSP,Scénario optimal sélectionné,40287.0,25.6,2.2,ISO 45001,Automatique,Fatima Z.
AH-0095,2024-11-29 09:34:32,Alerte qualité bloquage,Qualité,ANO-0016,SIM-0017-S3,Laayoune,Urée,"Lot retenu, non-conformité évitée",32390.0,84.2,3.4,ISO 14001,Automatique,Ahmed B.
AH-0096,2024-08-23 21:47:45,Réaffectation véhicule,Logistique,ANO-0092,SIM-0027-S3,Jorf Lasfar,NPS,Livraison maintenue à temps,12062.0,136.1,3.1,ISO 9001,Automatique,Système IA
AH-0097,2025-02-28 04:37:49,Réaffectation véhicule,Logistique,ANO-0112,SIM-0039-S3,Laayoune,DAP,Livraison maintenue à temps,18958.0,91.7,2.1,ISO 42001,Human-in-loop,Système IA
AH-0098,2024-02-04 15:18:29,Commande anticipée,Stock,ANO-0140,SIM-0002-S3,Casablanca Port,MAP,"Rupture évitée, +8% service",25514.0,152.4,1.3,ISO 9001,Automatique,Système IA
AH-0099,2024-08-20 11:13:38,Suspension route CO₂,Environnement,ANO-0061,SIM-0080-S3,Khouribga,Acide phosphorique,−28% émissions route,11805.0,105.2,0.7,ISO 14001,Automatique,Ahmed B.
AH-0100,2024-05-29 11:07:38,Suspension route CO₂,Environnement,ANO-0064,SIM-0027-S3,Youssoufia,DAP,−28% émissions route,43092.0,47.8,0.8,ISO 14001,Automatique,Fatima Z.
AH-0101,2024-02-16 02:54:55,Suspension route CO₂,Environnement,ANO-0030,SIM-0080-S3,Casablanca Port,Phosphate brut,−28% émissions route,44521.0,54.6,4.1,ISO 9001,Automatique,Karim M.
AH-0102,2025-01-26 16:42:53,Alerte qualité bloquage,Qualité,ANO-0142,SIM-0104-S3,Jorf Lasfar,Acide phosphorique,"Lot retenu, non-conformité évitée",31342.0,41.4,1.4,ISO 14001,Automatique,Ahmed B.
AH-0103,2024-07-10 07:10:27,Alerte SST déclenchée,Sécurité,ANO-0101,SIM-0118-S3,Youssoufia,Urée,"Incident évité, ISO 45001",6125.0,147.1,0.6,ISO 14001,Automatique,Fatima Z.
AH-0104,2024-03-11 06:24:21,Alerte SST déclenchée,Sécurité,ANO-0042,SIM-0113-S3,Jorf Lasfar,DAP,"Incident évité, ISO 45001",20106.0,63.3,3.2,ISO 45001,Human-in-loop,Système IA
AH-0105,2024-04-14 00:01:35,Alerte qualité bloquage,Qualité,ANO-0015,SIM-0016-S3,Youssoufia,Phosphate brut,"Lot retenu, non-conformité évitée",43521.0,75.3,0.8,ISO 42001,Automatique,Fatima Z.
AH-0106,2024-05-04 07:36:22,Alerte SST déclenchée,Sécurité,ANO-0017,SIM-0117-S3,Khouribga,Urée,"Incident évité, ISO 45001",8365.0,140.6,1.7,ISO 9001,Automatique,Karim M.
AH-0107,2024-03-16 22:55:02,Suspension route CO₂,Environnement,ANO-0151,SIM-0017-S3,Youssoufia,Urée,−28% émissions route,20196.0,128.0,0.9,ISO 45001,Automatique,Karim M.
AH-0108,2024-11-24 23:35:06,Commande anticipée,Stock,ANO-0071,SIM-0061-S3,Benguerir,TSP,"Rupture évitée, +8% service",30117.0,94.0,4.6,ISO 45001,Automatique,Ahmed B.
AH-0109,2024-11-26 16:03:36,Redistribution stock,Stock,ANO-0031,SIM-0058-S3,Laayoune,Phosphate brut,"−35% CO₂, −18% coût",1385.0,104.9,1.2,ISO 45001,Automatique,Ahmed B.
AH-0110,2024-02-17 10:41:46,Alerte SST déclenchée,Sécurité,ANO-0049,SIM-0022-S3,Casablanca Port,MAP,"Incident évité, ISO 45001",3013.0,125.9,4.4,ISO 45001,Automatique,Système IA
AH-0111,2024-06-12 00:30:58,Alerte SST déclenchée,Sécurité,ANO-0185,SIM-0099-S3,Youssoufia,MAP,"Incident évité, ISO 45001",26269.0,23.4,1.6,ISO 9001,Automatique,Karim M.
AH-0112,2024-12-24 01:34:43,Simulation Monte-Carlo,IA,ANO-0164,SIM-0018-S3,Benguerir,NPS,Scénario optimal sélectionné,27325.0,27.2,3.6,ISO 45001,Human-in-loop,Ahmed B.
AH-0113,2025-01-24 16:42:30,Reroutage automatique,Logistique,ANO-0140,SIM-0031-S3,Casablanca Port,Acide phosphorique,"Délai respecté, −12 kg CO₂",28347.0,123.2,3.7,ISO 9001,Automatique,Système IA
AH-0114,2025-02-25 13:14:57,Alerte SST déclenchée,Sécurité,ANO-0124,SIM-0064-S3,Khouribga,Urée,"Incident évité, ISO 45001",22273.0,71.9,3.1,ISO 14001,Human-in-loop,Ahmed B.
AH-0115,2025-03-09 13:24:58,Alerte qualité bloquage,Qualité,ANO-0111,SIM-0046-S3,Khouribga,Sulfate d'ammonium,"Lot retenu, non-conformité évitée",39293.0,170.0,1.2,ISO 42001,Automatique,Fatima Z.
AH-0116,2024-08-01 13:11:57,Rapport ISO auto-généré,Qualité,ANO-0015,SIM-0114-S3,Jorf Lasfar,Sulfate d'ammonium,Conformité ISO 9001 PDCA,28717.0,142.5,2.1,ISO 14001,Human-in-loop,Système IA
AH-0117,2024-09-06 01:08:39,Commande anticipée,Stock,ANO-0180,SIM-0056-S3,Casablanca Port,NPS,"Rupture évitée, +8% service",6247.0,143.0,0.6,ISO 45001,Automatique,Ahmed B.
AH-0118,2024-05-10 16:59:57,Alerte qualité bloquage,Qualité,ANO-0093,SIM-0040-S3,Youssoufia,Sulfate d'ammonium,"Lot retenu, non-conformité évitée",33223.0,19.0,3.1,ISO 14001,Automatique,Ahmed B.
AH-0119,2024-09-29 03:14:27,Commande anticipée,Stock,ANO-0003,SIM-0097-S3,Khouribga,TSP,"Rupture évitée, +8% service",16000.0,144.3,4.7,ISO 42001,Automatique,Fatima Z.
AH-0120,2024-05-13 16:14:19,Simulation Monte-Carlo,IA,ANO-0142,SIM-0053-S3,Youssoufia,Acide phosphorique,Scénario optimal sélectionné,39660.0,118.1,0.9,ISO 14001,Automatique,Ahmed B.
AH-0121,2024-03-08 17:19:49,Alerte SST déclenchée,Sécurité,ANO-0074,SIM-0073-S3,Jorf Lasfar,TSP,"Incident évité, ISO 45001",26812.0,142.9,3.2,ISO 42001,Automatique,Karim M.
AH-0122,2024-04-14 09:00:13,Redistribution stock,Stock,ANO-0105,SIM-0052-S3,Khouribga,Acide phosphorique,"−35% CO₂, −18% coût",41352.0,161.1,4.2,ISO 9001,Human-in-loop,Fatima Z.
AH-0123,2024-05-30 20:14:57,Rapport ISO auto-généré,Qualité,ANO-0048,SIM-0009-S3,Safi,Acide phosphorique,Conformité ISO 9001 PDCA,29186.0,8.3,1.5,ISO 9001,Automatique,Système IA
AH-0124,2024-06-19 13:45:10,Alerte qualité bloquage,Qualité,ANO-0063,SIM-0048-S3,Laayoune,Phosphate brut,"Lot retenu, non-conformité évitée",24336.0,36.1,1.2,ISO 42001,Automatique,Système IA
AH-0125,2024-10-23 22:59:21,Changement fournisseur,Appro.,ANO-0002,SIM-0089-S3,Khouribga,Urée,Délai normalisé,43436.0,168.1,1.1,ISO 42001,Automatique,Fatima Z.
