stock_id,site,produit,categorie,stock_actuel_t,stock_min_t,stock_max_t,taux_remplissage,statut_stock,valeur_usd,derniere_maj,capacite_entrepot_t,lat,lon
STK-BEN-ACI,Benguerir,Acide phosphorique,Chimique,1380.8,656.2,4156.2,0.332,Normal,1173680.0,2025-03-29 18:03,35000,32.23,-7.95
STK-BEN-SUL,Benguerir,Sulfate d'ammonium,Engrais,3039.4,656.2,4156.2,0.731,Normal,638274.0,2025-03-29 22:31,35000,32.23,-7.95
STK-BEN-URÉ,Benguerir,Urée,Engrais,3536.4,656.2,4156.2,0.851,Surstock,1343832.0,2025-03-28 23:21,35000,32.23,-7.95
STK-BEN-NPS,Benguerir,NPS,Engrais,964.6,656.2,4156.2,0.232,Stock bas,491946.0,2025-03-28 20:52,35000,32.23,-7.95
STK-SAF-DAP,Safi,DAP,Engrais,1425.8,750.0,4750.0,0.3,Normal,883996.0,2025-03-28 23:14,40000,32.3,-9.23
STK-SAF-MAP,Safi,MAP,Engrais,3534.3,750.0,4750.0,0.744,Normal,2085237.0,2025-03-30 00:52,40000,32.3,-9.23
STK-SAF-TSP,Safi,TSP,Engrais,750.0,750.0,4750.0,0.158,Stock bas,360000.0,2025-03-28 10:52,40000,32.3,-9.23
STK-SAF-PHO,Safi,Phosphate brut,Minerai,919.4,750.0,4750.0,0.194,Stock bas,110328.0,2025-03-28 08:20,40000,32.3,-9.23
STK-SAF-ACI,Safi,Acide phosphorique,Chimique,314.8,750.0,4750.0,0.066,Rupture imminente,267580.0,2025-03-29 21:21,40000,32.3,-9.23
STK-SAF-SUL,Safi,Sulfate d'ammonium,Engrais,2628.4,750.0,4750.0,0.553,Normal,551964.0,2025-03-28 07:27,40000,32.3,-9.23
STK-SAF-URÉ,Safi,Urée,Engrais,1128.0,750.0,4750.0,0.237,Stock bas,428640.0,2025-03-29 01:30,40000,32.3,-9.23
STK-SAF-NPS,Safi,NPS,Engrais,2584.8,750.0,4750.0,0.544,Normal,1318248.0,2025-03-28 19:44,40000,32.3,-9.23
STK-JOR-DAP,Jorf Lasfar,DAP,Engrais,1277.4,1125.0,7125.0,0.179,Stock bas,791988.0,2025-03-30 03:17,60000,33.07,-8.62
STK-JOR-MAP,Jorf Lasfar,MAP,Engrais,5500.5,1125.0,7125.0,0.772,Normal,3245295.0,2025-03-29 17:48,60000,33.07,-8.62
STK-JOR-TSP,Jorf Lasfar,TSP,Engrais,1935.8,1125.0,7125.0,0.272,Stock bas,929184.0,2025-03-28 05:11,60000,33.07,-8.62
STK-JOR-PHO,Jorf Lasfar,Phosphate brut,Minerai,2360.0,1125.0,7125.0,0.331,Normal,283200.0,2025-03-30 16:58,60000,33.07,-8.62
STK-JOR-ACI,Jorf Lasfar,Acide phosphorique,Chimique,2534.5,1125.0,7125.0,0.356,Normal,2154325.0,2025-03-29 08:18,60000,33.07,-8.62
STK-JOR-SUL,Jorf Lasfar,Sulfate d'ammonium,Engrais,698.4,1125.0,7125.0,0.098,Rupture imminente,146664.0,2025-03-28 02:06,60000,33.07,-8.62
STK-JOR-URÉ,Jorf Lasfar,Urée,Engrais,3375.9,1125.0,7125.0,0.474,Normal,1282842.0,2025-03-30 01:11,60000,33.07,-8.62
STK-JOR-NPS,Jorf Lasfar,NPS,Engrais,696.7,1125.0,7125.0,0.098,Rupture imminente,355317.0,2025-03-29 03:55,60000,33.07,-8.62
STK-CAS-DAP,Casablanca Port,DAP,Engrais,299.2,468.8,2968.8,0.101,Rupture imminente,185504.0,2025-03-29 07:03,25000,33.6,-7.62
STK-CAS-MAP,Casablanca Port,MAP,Engrais,1197.3,468.8,2968.8,0.403,Normal,706407.0,2025-03-30 03:18,25000,33.6,-7.62
STK-CAS-TSP,Casablanca Port,TSP,Engrais,1739.7,468.8,2968.8,0.586,Normal,835056.0,2025-03-29 19:09,25000,33.6,-7.62
STK-CAS-PHO,Casablanca Port,Phosphate brut,Minerai,1828.3,468.8,2968.8,0.616,Normal,219396.0,2025-03-30 02:15,25000,33.6,-7.62
STK-CAS-ACI,Casablanca Port,Acide phosphorique,Chimique,2013.9,468.8,2968.8,0.678,Normal,1711815.0,2025-03-29 20:52,25000,33.6,-7.62
STK-CAS-SUL,Casablanca Port,Sulfate d'ammonium,Engrais,1100.9,468.8,2968.8,0.371,Normal,231189.0,2025-03-29 00:11,25000,33.6,-7.62
STK-CAS-URÉ,Casablanca Port,Urée,Engrais,2327.6,468.8,2968.8,0.784,Normal,884488.0,2025-03-30 03:54,25000,33.6,-7.62
STK-CAS-NPS,Casablanca Port,NPS,Engrais,2170.8,468.8,2968.8,0.731,Normal,1107108.0,2025-03-30 10:55,25000,33.6,-7.62
STK-LAA-DAP,Laayoune,DAP,Engrais,1258.7,375.0,2375.0,0.53,Normal,780394.0,2025-03-30 22:54,20000,27.16,-13.2
STK-LAA-MAP,Laayoune,MAP,Engrais,2085.9,375.0,2375.0,0.878,Surstock,1230681.0,2025-03-30 07:39,20000,27.16,-13.2
STK-LAA-TSP,Laayoune,TSP,Engrais,1114.6,375.0,2375.0,0.469,Normal,535008.0,2025-03-28 09:35,20000,27.16,-13.2
STK-LAA-PHO,Laayoune,Phosphate brut,Minerai,322.4,375.0,2375.0,0.136,Rupture imminente,38688.0,2025-03-30 10:25,20000,27.16,-13.2
STK-LAA-ACI,Laayoune,Acide phosphorique,Chimique,2079.3,375.0,2375.0,0.875,Surstock,1767405.0,2025-03-29 10:05,20000,27.16,-13.2
STK-LAA-SUL,Laayoune,Sulfate d'ammonium,Engrais,331.7,375.0,2375.0,0.14,Rupture imminente,69657.0,2025-03-28 22:36,20000,27.16,-13.2
STK-LAA-URÉ,Laayoune,Urée,Engrais,1579.5,375.0,2375.0,0.665,Normal,600210.0,2025-03-30 03:42,20000,27.16,-13.2
STK-LAA-NPS,Laayoune,NPS,Engrais,1753.8,375.0,2375.0,0.738,Normal,894438.0,2025-03-29 10:15,20000,27.16,-13.2
