livraison_id,commande_id,origine,destination,transporteur_id,transporteur_nom,mode_transport,distance_km,masse_t,date_depart,date_arrivee_prevue,retard_heures,statut,co2_kg,cout_transport_usd,produit,otif
LIV-0021,CMD-0185,Benguerir,Safi,T001,OCP Rail,Rail,95,334.1,2024-07-06 19:25,2024-07-06 20:43,0.0,En transit,793.49,394.09,Sulfate d'ammonium,0
LIV-0022,CMD-0035,Jorf Lasfar,Khouribga,T006,Marsa Maroc,Maritime,180,419.2,2024-03-16 21:14,2024-03-17 00:02,2.9,Livré,528.19,730.88,DAP,0
LIV-0023,CMD-0580,Jorf Lasfar,Khouribga,T001,OCP Rail,Rail,180,335.2,2024-04-04 14:19,2024-04-04 16:49,0.0,En transit,1508.4,942.17,TSP,0
LIV-0024,CMD-0332,Khouribga,Laayoune,T002,ONCF Fret,Rail,339,161.4,2024-02-28 19:24,2024-02-29 00:18,0.0,Retardé,1203.72,785.45,Acide phosphorique,0
LIV-0025,CMD-0206,Youssoufia,Khouribga,T003,Atlas Trucks,Route,875,49.9,2024-02-16 15:34,2024-02-17 08:34,0.0,Incident,4191.6,541.32,Urée,0
LIV-0026,CMD-0073,Youssoufia,Laayoune,T004,Sahara Trans,Route,191,89.1,2024-06-18 15:01,2024-06-18 17:49,0.0,Livré,1769.88,257.56,Acide phosphorique,1
LIV-0027,CMD-0528,Laayoune,Safi,T001,OCP Rail,Rail,589,91.5,2024-01-30 09:18,2024-01-30 17:42,18.0,En transit,1347.34,765.85,NPS,0
LIV-0028,CMD-0581,Safi,Jorf Lasfar,T004,Sahara Trans,Route,75,369.3,2024-02-24 10:45,2024-02-24 11:57,0.5,Livré,2880.54,427.88,Sulfate d'ammonium,0
LIV-0029,CMD-0297,Benguerir,Laayoune,T003,Atlas Trucks,Route,490,46.5,2024-03-11 10:09,2024-03-11 18:51,3.5,Planifié,2187.36,382.3,Phosphate brut,0
LIV-0030,CMD-0195,Youssoufia,Casablanca Port,T001,OCP Rail,Rail,473,337.2,2024-10-30 00:04,2024-10-30 05:58,0.0,En transit,3987.39,1874.37,TSP,0
LIV-0031,CMD-0461,Khouribga,Benguerir,T001,OCP Rail,Rail,80,498.3,2024-10-28 23:09,2024-10-29 01:03,0.0,Planifié,996.6,451.14,DAP,0
LIV-0032,CMD-0550,Khouribga,Safi,T001,OCP Rail,Rail,155,398.1,2024-04-01 19:10,2024-04-01 22:16,14.5,Retardé,1542.64,611.39,TSP,0
LIV-0033,CMD-0177,Casablanca Port,Jorf Lasfar,T002,ONCF Fret,Rail,95,37.7,2024-01-15 19:21,2024-01-15 20:57,3.7,Livré,78.79,38.03,DAP,0
LIV-0034,CMD-0346,Benguerir,Khouribga,T004,Sahara Trans,Route,80,101.9,2024-03-23 14:09,2024-03-23 15:57,0.0,Livré,847.81,112.95,Urée,1
LIV-0035,CMD-0426,Benguerir,Khouribga,T006,Marsa Maroc,Maritime,80,282.0,2024-06-14 14:55,2024-06-14 16:01,0.0,Livré,157.92,268.81,TSP,1
LIV-0036,CMD-0499,Casablanca Port,Benguerir,T005,OCP Maritime,Maritime,248,230.6,2024-02-01 14:40,2024-02-01 20:04,0.0,Livré,457.51,930.17,MAP,1
LIV-0037,CMD-0278,Khouribga,Youssoufia,T002,ONCF Fret,Rail,171,359.2,2024-08-08 09:08,2024-08-08 12:02,3.3,Livré,1351.31,852.24,NPS,0
LIV-0038,CMD-0572,Safi,Youssoufia,T002,ONCF Fret,Rail,60,352.0,2025-01-23 06:34,2025-01-23 07:28,0.0,Livré,464.64,293.42,Phosphate brut,1
LIV-0039,CMD-0116,Youssoufia,Khouribga,T005,OCP Maritime,Maritime,177,317.1,2025-02-23 05:09,2025-02-23 07:57,0.0,Livré,449.01,887.46,TSP,1
LIV-0040,CMD-0465,Casablanca Port,Safi,T004,Sahara Trans,Route,260,96.7,2024-02-11 23:08,2024-02-12 02:56,0.0,Planifié,2614.77,408.39,DAP,0
LIV-0041,CMD-0430,Khouribga,Laayoune,T001,OCP Rail,Rail,630,104.4,2025-01-11 18:11,2025-01-12 04:11,0.0,En transit,1644.3,1003.39,Phosphate brut,0
LIV-0042,CMD-0600,Casablanca Port,Laayoune,T003,Atlas Trucks,Route,900,393.9,2024-03-17 04:02,2024-03-17 21:50,1.9,Livré,34032.96,4235.74,NPS,0
LIV-0043,CMD-0344,Khouribga,Jorf Lasfar,T002,ONCF Fret,Rail,180,465.4,2024-10-27 20:21,2024-10-27 23:33,0.0,Livré,1842.98,1078.64,TSP,1
LIV-0044,CMD-0175,Khouribga,Laayoune,T005,OCP Maritime,Maritime,141,154.7,2024-12-27 14:11,2024-12-27 16:29,1.1,En transit,174.5,226.85,Phosphate brut,0
LIV-0045,CMD-0336,Khouribga,Jorf Lasfar,T005,OCP Maritime,Maritime,180,433.9,2025-01-02 18:28,2025-01-02 20:46,1.5,Livré,624.82,871.49,Urée,0
LIV-0046,CMD-0544,Jorf Lasfar,Youssoufia,T005,OCP Maritime,Maritime,90,458.6,2024-11-20 11:49,2024-11-20 12:55,0.6,Livré,330.19,663.17,Urée,0
LIV-0047,CMD-0093,Safi,Laayoune,T001,OCP Rail,Rail,543,257.7,2024-01-10 15:34,2024-01-10 23:10,0.0,Livré,3498.28,1427.05,DAP,1
LIV-0048,CMD-0380,Safi,Laayoune,T003,Atlas Trucks,Route,245,357.6,2025-03-29 08:12,2025-03-29 14:12,2.1,Livré,8410.75,1382.26,NPS,0
LIV-0049,CMD-0590,Casablanca Port,Laayoune,T001,OCP Rail,Rail,900,53.9,2024-09-15 13:49,2024-09-16 03:55,1.5,En transit,1212.75,777.75,Phosphate brut,0
LIV-0050,CMD-0477,Laayoune,Casablanca Port,T001,OCP Rail,Rail,900,442.8,2024-02-12 13:45,2024-02-13 03:57,0.0,Livré,9963.0,5936.94,DAP,1
LIV-0051,CMD-0595,Benguerir,Safi,T002,ONCF Fret,Rail,95,288.2,2024-06-08 00:07,2024-06-08 02:13,0.0,En transit,602.34,276.05,Phosphate brut,0
LIV-0052,CMD-0126,Laayoune,Casablanca Port,T002,ONCF Fret,Rail,900,189.3,2024-11-24 11:58,2024-11-25 05:10,0.0,Livré,3748.14,1963.51,NPS,1
LIV-0053,CMD-0469,Casablanca Port,Jorf Lasfar,T006,Marsa Maroc,Maritime,95,275.8,2024-10-12 22:44,2024-10-13 00:02,20.2,Livré,183.41,306.66,MAP,0
LIV-0054,CMD-0024,Khouribga,Jorf Lasfar,T002,ONCF Fret,Rail,180,480.0,2024-05-07 23:27,2024-05-08 02:51,2.9,Livré,1900.8,877.31,Acide phosphorique,0
LIV-0055,CMD-0344,Safi,Laayoune,T005,OCP Maritime,Maritime,215,247.5,2024-01-17 16:27,2024-01-17 20:27,0.0,Retardé,425.7,671.8,Urée,0
LIV-0056,CMD-0176,Jorf Lasfar,Benguerir,T006,Marsa Maroc,Maritime,110,397.7,2025-02-15 19:00,2025-02-15 20:24,0.0,Planifié,306.23,573.1,Acide phosphorique,0
LIV-0057,CMD-0187,Youssoufia,Jorf Lasfar,T003,Atlas Trucks,Route,90,389.5,2024-10-01 06:39,2024-10-01 08:21,0.0,Livré,3365.28,348.47,TSP,1
LIV-0058,CMD-0576,Laayoune,Casablanca Port,T006,Marsa Maroc,Maritime,900,401.3,2024-03-31 19:29,2024-04-01 16:59,0.0,Livré,2528.19,3886.56,DAP,1
LIV-0059,CMD-0470,Casablanca Port,Benguerir,T003,Atlas Trucks,Route,231,199.0,2024-05-06 07:02,2024-05-06 10:38,4.5,Planifié,4413.02,619.99,Sulfate d'ammonium,0
LIV-0060,CMD-0151,Youssoufia,Khouribga,T006,Marsa Maroc,Maritime,639,488.3,2024-08-17 13:34,2024-08-17 23:58,22.9,En transit,2184.17,3739.67,NPS,0
LIV-0061,CMD-0335,Benguerir,Laayoune,T001,OCP Rail,Rail,829,249.9,2025-03-03 22:38,2025-03-04 16:56,0.0,Livré,5179.18,2048.59,DAP,1
LIV-0062,CMD-0525,Jorf Lasfar,Laayoune,T002,ONCF Fret,Rail,820,272.7,2024-08-03 20:56,2024-08-04 13:44,0.8,Retardé,4919.51,3404.58,Urée,0
LIV-0063,CMD-0354,Youssoufia,Jorf Lasfar,T003,Atlas Trucks,Route,90,310.4,2024-10-07 10:44,2024-10-07 12:20,0.0,Livré,2681.86,457.94,Sulfate d'ammonium,1
LIV-0064,CMD-0425,Benguerir,Jorf Lasfar,T005,OCP Maritime,Maritime,110,123.5,2024-11-18 19:31,2024-11-18 20:55,20.1,Livré,108.68,217.25,TSP,0
LIV-0065,CMD-0420,Laayoune,Jorf Lasfar,T005,OCP Maritime,Maritime,820,88.9,2025-02-12 00:19,2025-02-12 10:01,0.7,Livré,583.18,858.98,Acide phosphorique,0
LIV-0066,CMD-0310,Safi,Youssoufia,T005,OCP Maritime,Maritime,60,360.9,2024-04-16 08:30,2024-04-16 09:42,0.0,Planifié,173.23,325.63,Acide phosphorique,0
LIV-0067,CMD-0295,Safi,Casablanca Port,T006,Marsa Maroc,Maritime,554,127.8,2024-04-29 15:12,2024-04-30 01:54,0.0,En transit,495.61,1083.03,Urée,0
LIV-0068,CMD-0447,Youssoufia,Jorf Lasfar,T006,Marsa Maroc,Maritime,90,137.5,2024-08-03 07:42,2024-08-03 09:06,0.0,Livré,86.62,129.43,Acide phosphorique,1
LIV-0069,CMD-0139,Casablanca Port,Laayoune,T004,Sahara Trans,Route,900,412.8,2025-03-22 19:41,2025-03-23 17:47,0.0,Livré,38638.08,4564.89,Sulfate d'ammonium,1
LIV-0070,CMD-0188,Youssoufia,Khouribga,T003,Atlas Trucks,Route,449,221.4,2024-10-03 12:01,2024-10-03 22:37,0.0,Livré,9543.23,1607.15,MAP,1
LIV-0071,CMD-0148,Jorf Lasfar,Youssoufia,T005,OCP Maritime,Maritime,90,438.8,2024-08-21 20:23,2024-08-21 22:05,0.0,Livré,315.94,614.22,DAP,1
LIV-0072,CMD-0539,Youssoufia,Casablanca Port,T003,Atlas Trucks,Route,461,393.8,2024-05-06 15:05,2024-05-07 01:23,0.0,Retardé,17428.01,2281.32,MAP,0
LIV-0073,CMD-0536,Safi,Jorf Lasfar,T001,OCP Rail,Rail,75,413.0,2025-01-07 10:52,2025-01-07 12:10,0.0,Incident,774.38,503.3,Sulfate d'ammonium,0
LIV-0074,CMD-0081,Youssoufia,Laayoune,T003,Atlas Trucks,Route,109,377.3,2024-04-09 23:24,2024-04-10 00:48,0.0,Livré,3948.07,429.92,Urée,1
LIV-0075,CMD-0260,Casablanca Port,Khouribga,T001,OCP Rail,Rail,120,391.9,2024-02-03 00:34,2024-02-03 03:04,0.0,Livré,1175.7,707.9,DAP,1
LIV-0076,CMD-0285,Khouribga,Safi,T006,Marsa Maroc,Maritime,155,382.2,2024-06-08 12:57,2024-06-08 15:15,0.0,Livré,414.69,902.42,Sulfate d'ammonium,1
LIV-0077,CMD-0289,Benguerir,Youssoufia,T005,OCP Maritime,Maritime,879,369.7,2025-03-18 21:57,2025-03-19 18:21,0.0,En transit,2599.73,3685.48,TSP,0
LIV-0078,CMD-0110,Laayoune,Jorf Lasfar,T001,OCP Rail,Rail,820,67.4,2025-01-26 14:52,2025-01-27 01:22,0.0,En transit,1381.7,615.74,TSP,0
LIV-0079,CMD-0370,Laayoune,Benguerir,T004,Sahara Trans,Route,514,122.9,2024-03-28 15:35,2024-03-28 22:29,0.0,Livré,6569.74,709.94,Acide phosphorique,1
LIV-0080,CMD-0418,Jorf Lasfar,Laayoune,T001,OCP Rail,Rail,820,177.5,2024-08-08 06:54,2024-08-08 20:24,3.1,Livré,3638.75,1518.55,Acide phosphorique,0
LIV-0081,CMD-0088,Laayoune,Safi,T002,ONCF Fret,Rail,151,449.5,2024-10-12 09:36,2024-10-12 12:42,0.0,Livré,1493.24,1043.74,MAP,1
LIV-0082,CMD-0126,Youssoufia,Jorf Lasfar,T004,Sahara Trans,Route,90,303.5,2024-05-11 01:13,2024-05-11 03:19,0.0,Incident,2840.76,282.23,Phosphate brut,0
LIV-0083,CMD-0415,Laayoune,Safi,T006,Marsa Maroc,Maritime,591,153.7,2025-03-27 23:44,2025-03-28 08:38,20.0,Livré,635.86,1338.67,NPS,0
LIV-0084,CMD-0070,Jorf Lasfar,Benguerir,T002,ONCF Fret,Rail,110,238.2,2025-01-15 01:59,2025-01-15 03:47,0.0,Livré,576.44,274.59,NPS,1
LIV-0085,CMD-0478,Casablanca Port,Khouribga,T002,ONCF Fret,Rail,120,310.2,2024-08-23 03:43,2024-08-23 05:31,0.8,Planifié,818.93,444.98,Phosphate brut,0
LIV-0086,CMD-0393,Benguerir,Laayoune,T004,Sahara Trans,Route,582,262.3,2025-02-23 20:11,2025-02-24 05:11,0.0,Retardé,15876.49,2061.74,NPS,0
LIV-0087,CMD-0113,Benguerir,Jorf Lasfar,T004,Sahara Trans,Route,110,37.3,2024-08-23 09:09,2024-08-23 10:33,0.0,Livré,426.71,44.61,NPS,1
LIV-0088,CMD-0362,Casablanca Port,Jorf Lasfar,T006,Marsa Maroc,Maritime,95,294.7,2024-05-01 09:50,2024-05-01 11:20,13.9,En transit,195.98,364.7,Acide phosphorique,0
LIV-0089,CMD-0439,Benguerir,Khouribga,T001,OCP Rail,Rail,80,41.7,2024-09-27 23:32,2024-09-28 00:32,0.0,Livré,83.4,52.13,Sulfate d'ammonium,1
LIV-0090,CMD-0021,Benguerir,Jorf Lasfar,T003,Atlas Trucks,Route,110,337.4,2024-08-30 09:57,2024-08-30 11:39,0.0,Livré,3562.94,422.46,Sulfate d'ammonium,1
LIV-0091,CMD-0331,Khouribga,Jorf Lasfar,T006,Marsa Maroc,Maritime,180,292.7,2024-07-26 02:08,2024-07-26 06:32,0.0,En transit,368.8,847.73,MAP,0
LIV-0092,CMD-0207,Laayoune,Safi,T001,OCP Rail,Rail,787,344.1,2025-01-25 12:17,2025-01-25 22:35,0.0,Retardé,6770.17,3254.82,NPS,0
LIV-0093,CMD-0098,Casablanca Port,Khouribga,T005,OCP Maritime,Maritime,120,157.9,2025-03-21 11:12,2025-03-21 13:18,0.0,Planifié,151.58,188.39,Sulfate d'ammonium,0
LIV-0094,CMD-0553,Benguerir,Khouribga,T005,OCP Maritime,Maritime,80,274.9,2024-09-26 18:26,2024-09-26 19:32,2.8,Livré,175.94,278.75,Sulfate d'ammonium,0
LIV-0095,CMD-0219,Youssoufia,Jorf Lasfar,T004,Sahara Trans,Route,90,320.0,2025-03-01 07:18,2025-03-01 09:12,0.6,En transit,2995.2,370.46,NPS,0
LIV-0096,CMD-0247,Benguerir,Laayoune,T005,OCP Maritime,Maritime,908,314.9,2024-12-02 21:12,2024-12-03 08:18,0.0,Livré,2287.43,4328.3,TSP,1
LIV-0097,CMD-0242,Casablanca Port,Laayoune,T003,Atlas Trucks,Route,900,229.0,2024-02-20 01:00,2024-02-20 14:06,0.0,Livré,19785.6,2451.42,Urée,1
LIV-0098,CMD-0164,Youssoufia,Khouribga,T002,ONCF Fret,Rail,276,33.3,2024-08-29 04:53,2024-08-29 09:23,0.0,Livré,202.2,140.98,Acide phosphorique,1
LIV-0099,CMD-0086,Youssoufia,Khouribga,T003,Atlas Trucks,Route,888,405.7,2024-05-16 16:36,2024-05-17 05:30,0.6,Livré,34585.11,5167.03,Sulfate d'ammonium,0
LIV-0100,CMD-0513,Jorf Lasfar,Benguerir,T001,OCP Rail,Rail,110,450.5,2024-03-11 03:25,2024-03-11 05:19,0.0,En transit,1238.88,715.38,MAP,0
LIV-0101,CMD-0400,Jorf Lasfar,Laayoune,T005,OCP Maritime,Maritime,820,467.1,2024-03-11 02:21,2024-03-11 18:33,0.0,En transit,3064.18,4371.44,Phosphate brut,0
LIV-0102,CMD-0116,Safi,Youssoufia,T002,ONCF Fret,Rail,60,104.1,2024-12-07 08:24,2024-12-07 09:24,0.0,En transit,137.41,103.58,Sulfate d'ammonium,0
LIV-0103,CMD-0036,Jorf Lasfar,Safi,T004,Sahara Trans,Route,75,138.2,2024-04-22 13:20,2024-04-22 14:38,0.0,Retardé,1077.96,120.23,DAP,0
LIV-0104,CMD-0009,Casablanca Port,Laayoune,T002,ONCF Fret,Rail,900,285.3,2024-10-08 20:06,2024-10-09 07:18,0.0,Livré,5648.94,3036.75,Urée,1
LIV-0105,CMD-0035,Benguerir,Safi,T001,OCP Rail,Rail,95,383.2,2024-05-04 10:51,2024-05-04 12:03,2.7,Livré,910.1,427.44,Acide phosphorique,0
LIV-0106,CMD-0519,Laayoune,Khouribga,T004,Sahara Trans,Route,562,373.7,2024-09-15 10:23,2024-09-15 18:11,3.6,En transit,21842.02,3417.18,MAP,0
LIV-0107,CMD-0140,Benguerir,Jorf Lasfar,T005,OCP Maritime,Maritime,110,410.4,2024-12-18 01:24,2024-12-18 02:54,0.0,Livré,361.15,673.19,DAP,1
LIV-0108,CMD-0421,Safi,Youssoufia,T006,Marsa Maroc,Maritime,60,170.6,2024-05-02 14:01,2024-05-02 15:13,0.0,Livré,71.65,104.33,Sulfate d'ammonium,1
LIV-0109,CMD-0585,Safi,Jorf Lasfar,T006,Marsa Maroc,Maritime,75,145.1,2024-09-11 10:32,2024-09-11 11:32,0.0,Retardé,76.18,158.34,Phosphate brut,0
LIV-0110,CMD-0440,Khouribga,Youssoufia,T005,OCP Maritime,Maritime,742,313.8,2024-03-10 02:38,2024-03-10 11:32,0.0,Livré,1862.72,2618.68,Acide phosphorique,1
LIV-0111,CMD-0209,Youssoufia,Khouribga,T003,Atlas Trucks,Route,254,474.7,2025-02-12 10:19,2025-02-12 14:37,3.7,Livré,11575.08,1259.38,Phosphate brut,0
LIV-0112,CMD-0419,Laayoune,Benguerir,T003,Atlas Trucks,Route,844,257.2,2024-06-09 11:24,2024-06-10 00:00,4.0,Livré,20839.37,2287.43,TSP,0
LIV-0113,CMD-0408,Khouribga,Safi,T003,Atlas Trucks,Route,155,316.5,2024-10-14 02:32,2024-10-14 04:50,0.0,Retardé,4709.52,791.43,Phosphate brut,0
LIV-0114,CMD-0047,Casablanca Port,Safi,T006,Marsa Maroc,Maritime,513,373.3,2024-03-15 00:08,2024-03-15 08:02,0.0,Livré,1340.52,2191.72,DAP,1
LIV-0115,CMD-0505,Benguerir,Casablanca Port,T005,OCP Maritime,Maritime,470,165.2,2024-10-15 02:05,2024-10-15 12:17,0.0,Livré,621.15,966.03,Sulfate d'ammonium,1
LIV-0116,CMD-0370,Safi,Youssoufia,T001,OCP Rail,Rail,60,360.9,2024-07-21 06:19,2024-07-21 07:37,0.7,Planifié,541.35,275.38,Urée,0
LIV-0117,CMD-0570,Benguerir,Safi,T005,OCP Maritime,Maritime,95,385.6,2024-08-31 02:56,2024-08-31 04:32,0.0,Retardé,293.06,421.23,NPS,0
LIV-0118,CMD-0453,Khouribga,Benguerir,T002,ONCF Fret,Rail,80,130.3,2024-07-21 02:55,2024-07-21 04:37,2.1,Livré,229.33,102.76,Sulfate d'ammonium,0
LIV-0119,CMD-0521,Casablanca Port,Jorf Lasfar,T004,Sahara Trans,Route,95,256.6,2024-04-24 23:55,2024-04-25 02:01,0.0,Livré,2535.21,382.48,Acide phosphorique,1
LIV-0120,CMD-0097,Jorf Lasfar,Laayoune,T005,OCP Maritime,Maritime,820,300.1,2025-02-12 13:38,2025-02-13 00:38,0.0,Livré,1968.66,4083.91,Sulfate d'ammonium,1
LIV-0121,CMD-0465,Khouribga,Safi,T006,Marsa Maroc,Maritime,155,78.6,2024-03-23 09:17,2024-03-23 11:17,1.0,En transit,85.28,149.72,Acide phosphorique,0
LIV-0122,CMD-0217,Jorf Lasfar,Laayoune,T001,OCP Rail,Rail,820,485.5,2024-12-17 22:26,2024-12-18 13:26,18.7,En transit,9952.75,5702.7,DAP,0
LIV-0123,CMD-0409,Laayoune,Casablanca Port,T003,Atlas Trucks,Route,900,403.1,2025-02-28 23:43,2025-03-01 10:37,0.0,Retardé,34827.84,5425.66,MAP,0
LIV-0124,CMD-0135,Khouribga,Benguerir,T002,ONCF Fret,Rail,80,394.2,2024-04-29 17:16,2024-04-29 19:04,2.2,Livré,693.79,367.44,Sulfate d'ammonium,0
LIV-0125,CMD-0191,Casablanca Port,Khouribga,T003,Atlas Trucks,Route,120,115.9,2024-10-28 10:30,2024-10-28 12:30,2.5,Planifié,1335.17,178.12,Urée,0
LIV-0126,CMD-0086,Casablanca Port,Safi,T001,OCP Rail,Rail,121,266.4,2024-06-23 03:57,2024-06-23 05:45,0.0,En transit,805.86,535.33,Acide phosphorique,0
LIV-0127,CMD-0565,Safi,Jorf Lasfar,T001,OCP Rail,Rail,75,249.3,2024-04-09 06:10,2024-04-09 07:16,0.0,En transit,467.44,199.5,MAP,0
LIV-0128,CMD-0474,Khouribga,Casablanca Port,T001,OCP Rail,Rail,120,224.0,2025-03-17 13:12,2025-03-17 14:48,1.7,Livré,672.0,276.33,TSP,0
LIV-0129,CMD-0350,Laayoune,Youssoufia,T004,Sahara Trans,Route,126,60.0,2024-08-19 04:33,2024-08-19 06:51,0.0,Planifié,786.24,120.3,TSP,0
LIV-0130,CMD-0472,Youssoufia,Benguerir,T001,OCP Rail,Rail,844,491.4,2024-03-23 14:08,2024-03-24 04:20,0.0,En transit,10368.54,4755.88,Urée,0
LIV-0131,CMD-0139,Laayoune,Casablanca Port,T006,Marsa Maroc,Maritime,900,368.4,2024-10-07 04:28,2024-10-07 17:10,3.9,Livré,2320.92,3905.83,DAP,0
LIV-0132,CMD-0552,Youssoufia,Khouribga,T001,OCP Rail,Rail,792,485.8,2024-06-11 12:19,2024-06-12 01:07,1.0,Planifié,9618.84,6073.29,Phosphate brut,0
LIV-0133,CMD-0461,Khouribga,Safi,T004,Sahara Trans,Route,155,247.5,2024-05-09 00:25,2024-05-09 02:19,0.0,Livré,3989.7,374.31,Phosphate brut,1
LIV-0134,CMD-0593,Youssoufia,Safi,T005,OCP Maritime,Maritime,60,420.2,2024-01-07 02:47,2024-01-07 04:05,0.0,Livré,201.7,251.28,Acide phosphorique,1
LIV-0135,CMD-0275,Khouribga,Jorf Lasfar,T004,Sahara Trans,Route,180,266.4,2025-01-13 23:08,2025-01-14 02:44,0.0,En transit,4987.01,710.52,Urée,0
LIV-0136,CMD-0225,Safi,Khouribga,T004,Sahara Trans,Route,155,470.7,2024-12-04 19:55,2024-12-04 23:43,0.0,Livré,7587.68,882.56,Sulfate d'ammonium,1
LIV-0137,CMD-0166,Jorf Lasfar,Laayoune,T006,Marsa Maroc,Maritime,820,83.0,2024-10-30 05:02,2024-10-30 14:56,3.4,Planifié,476.42,797.15,Phosphate brut,0
LIV-0138,CMD-0241,Benguerir,Laayoune,T006,Marsa Maroc,Maritime,168,340.2,2024-06-03 22:39,2024-06-04 02:15,19.9,Livré,400.08,601.8,Phosphate brut,0
LIV-0139,CMD-0117,Jorf Lasfar,Khouribga,T001,OCP Rail,Rail,180,442.8,2024-05-03 04:37,2024-05-03 08:25,3.5,Livré,1992.6,970.05,Phosphate brut,0
LIV-0140,CMD-0528,Khouribga,Casablanca Port,T002,ONCF Fret,Rail,120,143.8,2024-10-02 22:10,2024-10-02 23:46,3.2,Planifié,379.63,207.94,MAP,0
LIV-0141,CMD-0576,Casablanca Port,Khouribga,T004,Sahara Trans,Route,120,239.4,2024-03-27 03:54,2024-03-27 05:18,3.2,Livré,2987.71,449.87,DAP,0
LIV-0142,CMD-0102,Jorf Lasfar,Khouribga,T002,ONCF Fret,Rail,180,76.7,2024-10-07 21:25,2024-10-08 01:13,0.0,En transit,303.73,152.95,TSP,0
LIV-0143,CMD-0294,Casablanca Port,Benguerir,T003,Atlas Trucks,Route,918,86.1,2024-12-07 01:34,2024-12-07 12:34,3.2,Livré,7587.82,1241.71,TSP,0
