anomalie_id,date_detection,type_anomalie,categorie,severite,site,produit,description,score_isolation_forest,statut,date_resolution,action_declenchee,impact_usd
ANO-0011,2024-08-03 08:04,Variation demande >20%,Prévision,faible,Jorf Lasfar,NPS,Variation demande >20% détecté sur site Jorf Lasfar,-0.6535,Actif,,Auto-heal exécuté,66694.0
ANO-0012,2024-04-23 18:48,Surstock détecté,Stock,modéré,Khouribga,NPS,Surstock détecté détecté sur site Khouribga,-0.1878,Résolu,2024-04-23 21:35,Auto-heal exécuté,76208.0
ANO-0013,2025-02-01 10:52,Rupture stock imminente,Stock,critique,Youssoufia,Urée,Rupture stock imminente détecté sur site Youssoufia,-0.3346,Actif,,Simulation lancée,26066.0
ANO-0014,2025-03-11 01:51,Retard livraison critique,Logistique,critique,Youssoufia,Urée,Retard livraison critique détecté sur site Youssoufia,-0.3056,Résolu,2025-03-11 04:54,Simulation lancée,71366.0
ANO-0015,2024-03-01 17:44,Délai fournisseur,Approvisionnement,modéré,Jorf Lasfar,Phosphate brut,Délai fournisseur détecté sur site Jorf Lasfar,-0.1312,Actif,,Simulation lancée,60609.0
ANO-0016,2024-12-09 00:53,Écart qualité produit,Qualité,critique,Jorf Lasfar,Acide phosphorique,Écart qualité produit détecté sur site Jorf Lasfar,-0.3202,Résolu,2024-12-09 05:40,Intervention humaine,55602.0
ANO-0017,2024-10-11 00:54,Seuil CO₂ dépassé,Environnement,modéré,Khouribga,Sulfate d'ammonium,Seuil CO₂ dépassé détecté sur site Khouribga,-0.2901,Actif,,Alerte envoyée,52634.0
ANO-0018,2024-10-17 15:42,Surstock détecté,Stock,modéré,Safi,DAP,Surstock détecté détecté sur site Safi,-0.6629,Résolu,2024-10-17 18:48,Alerte envoyée,974.0
ANO-0019,2024-03-14 02:18,Défaillance équipement,Maintenance,critique,Benguerir,Acide phosphorique,Défaillance équipement détecté sur site Benguerir,-0.448,Actif,,Auto-heal exécuté,51772.0
ANO-0020,2024-08-01 13:27,Rupture stock imminente,Stock,critique,Casablanca Port,Urée,Rupture stock imminente détecté sur site Casablanca Port,-0.7693,Résolu,2024-08-01 19:25,Simulation lancée,23668.0
ANO-0021,2024-01-24 15:11,Rupture stock imminente,Stock,critique,Jorf Lasfar,NPS,Rupture stock imminente détecté sur site Jorf Lasfar,-0.1019,Actif,,Intervention humaine,41930.0
ANO-0022,2025-02-27 18:29,Surcharge conducteur,SST,critique,Casablanca Port,DAP,Surcharge conducteur détecté sur site Casablanca Port,-0.5413,Actif,,Alerte envoyée,60127.0
ANO-0023,2024-04-12 06:06,Seuil CO₂ dépassé,Environnement,modéré,Laayoune,MAP,Seuil CO₂ dépassé détecté sur site Laayoune,-0.7608,Résolu,2024-04-12 11:34,Auto-heal exécuté,27053.0
ANO-0024,2024-05-30 19:49,Route bloquée,Logistique,modéré,Benguerir,DAP,Route bloquée détecté sur site Benguerir,-0.5671,Résolu,2024-05-31 01:35,Simulation lancée,76359.0
ANO-0025,2024-10-11 11:31,Seuil CO₂ dépassé,Environnement,modéré,Jorf Lasfar,Urée,Seuil CO₂ dépassé détecté sur site Jorf Lasfar,-0.5085,Résolu,2024-10-11 17:14,Auto-heal exécuté,5989.0
ANO-0026,2024-07-26 02:27,Route bloquée,Logistique,modéré,Youssoufia,NPS,Route bloquée détecté sur site Youssoufia,-0.7688,Résolu,2024-07-26 07:40,Alerte envoyée,58697.0
ANO-0027,2024-01-03 12:06,Écart qualité produit,Qualité,critique,Youssoufia,Sulfate d'ammonium,Écart qualité produit détecté sur site Youssoufia,-0.7176,Résolu,2024-01-03 16:06,Auto-heal exécuté,48343.0
ANO-0028,2024-03-31 07:16,Surcharge conducteur,SST,critique,Khouribga,TSP,Surcharge conducteur détecté sur site Khouribga,-0.2893,Actif,,Alerte envoyée,27329.0
ANO-0029,2024-05-11 12:38,Température stockage,Qualité,modéré,Khouribga,Phosphate brut,Température stockage détecté sur site Khouribga,-0.3534,Actif,,Intervention humaine,7368.0
ANO-0030,2024-08-27 01:28,Retard douanier,Logistique,faible,Youssoufia,Phosphate brut,Retard douanier détecté sur site Youssoufia,-0.2768,Actif,,Alerte envoyée,26736.0
ANO-0031,2024-08-10 23:29,Écart qualité produit,Qualité,critique,Casablanca Port,TSP,Écart qualité produit détecté sur site Casablanca Port,-0.4045,Résolu,2024-08-11 03:02,Alerte envoyée,71081.0
ANO-0032,2024-05-17 13:36,Défaillance équipement,Maintenance,critique,Youssoufia,Acide phosphorique,Défaillance équipement détecté sur site Youssoufia,-0.3117,Actif,,Simulation lancée,8309.0
ANO-0033,2024-10-09 10:14,Délai fournisseur,Approvisionnement,modéré,Jorf Lasfar,NPS,Délai fournisseur détecté sur site Jorf Lasfar,-0.2193,Résolu,2024-10-09 16:07,Alerte envoyée,3604.0
ANO-0034,2024-04-30 22:32,Variation demande >20%,Prévision,faible,Safi,Phosphate brut,Variation demande >20% détecté sur site Safi,-0.1044,Résolu,2024-05-01 02:16,Simulation lancée,55088.0
ANO-0035,2024-08-12 05:33,Température stockage,Qualité,modéré,Laayoune,Acide phosphorique,Température stockage détecté sur site Laayoune,-0.7365,Résolu,2024-08-12 12:10,Alerte envoyée,22319.0
ANO-0036,2024-01-25 10:14,Surcharge conducteur,SST,critique,Benguerir,TSP,Surcharge conducteur détecté sur site Benguerir,-0.4674,Actif,,Intervention humaine,50086.0
ANO-0037,2024-10-20 12:45,Délai fournisseur,Approvisionnement,modéré,Jorf Lasfar,DAP,Délai fournisseur détecté sur site Jorf Lasfar,-0.5743,Résolu,2024-10-20 13:40,Simulation lancée,73958.0
ANO-0038,2024-11-23 07:36,Rupture stock imminente,Stock,critique,Youssoufia,Sulfate d'ammonium,Rupture stock imminente détecté sur site Youssoufia,-0.3465,Résolu,2024-11-23 08:29,Alerte envoyée,77661.0
ANO-0039,2024-12-28 14:33,Défaillance équipement,Maintenance,critique,Youssoufia,DAP,Défaillance équipement détecté sur site Youssoufia,-0.4927,Résolu,2024-12-28 19:50,Intervention humaine,50657.0
ANO-0040,2024-11-06 04:06,Retard douanier,Logistique,faible,Safi,Phosphate brut,Retard douanier détecté sur site Safi,-0.6232,Résolu,2024-11-06 07:19,Simulation lancée,41276.0
ANO-0041,2024-02-01 04:03,Écart qualité produit,Qualité,critique,Benguerir,Phosphate brut,Écart qualité produit détecté sur site Benguerir,-0.2658,Actif,,Auto-heal exécuté,36073.0
ANO-0042,2024-11-07 06:31,Défaillance équipement,Maintenance,critique,Jorf Lasfar,TSP,Défaillance équipement détecté sur site Jorf Lasfar,-0.4415,Résolu,2024-11-07 14:25,Simulation lancée,75417.0
ANO-0043,2024-06-03 03:36,Retard douanier,Logistique,faible,Jorf Lasfar,TSP,Retard douanier détecté sur site Jorf Lasfar,-0.7091,Actif,,Simulation lancée,67134.0
ANO-0044,2024-08-28 05:16,Rupture stock imminente,Stock,critique,Khouribga,TSP,Rupture stock imminente détecté sur site Khouribga,-0.239,Actif,,Intervention humaine,33961.0
ANO-0045,2024-04-24 13:25,Surcharge conducteur,SST,critique,Khouribga,TSP,Surcharge conducteur détecté sur site Khouribga,-0.5891,Résolu,2024-04-24 14:08,Alerte envoyée,20458.0
ANO-0046,2024-03-11 00:49,Surstock détecté,Stock,modéré,Safi,TSP,Surstock détecté détecté sur site Safi,-0.3207,Résolu,2024-03-11 08:03,Simulation lancée,918.0
ANO-0047,2024-03-18 14:31,Seuil CO₂ dépassé,Environnement,modéré,Benguerir,Urée,Seuil CO₂ dépassé détecté sur site Benguerir,-0.3109,Résolu,2024-03-18 22:20,Intervention humaine,56983.0
ANO-0048,2024-07-07 13:02,Surcharge conducteur,SST,critique,Casablanca Port,MAP,Surcharge conducteur détecté sur site Casablanca Port,-0.5287,Résolu,2024-07-07 15:46,Alerte envoyée,34290.0
ANO-0049,2024-11-25 18:58,Délai fournisseur,Approvisionnement,modéré,Benguerir,MAP,Délai fournisseur détecté sur site Benguerir,-0.5572,Résolu,2024-11-26 00:42,Auto-heal exécuté,19233.0
ANO-0050,2024-07-01 15:39,Variation demande >20%,Prévision,faible,Youssoufia,Sulfate d'ammonium,Variation demande >20% détecté sur site Youssoufia,-0.449,Résolu,2024-07-01 15:41,Intervention humaine,77783.0
ANO-0051,2024-04-17 05:59,Température stockage,Qualité,modéré,Youssoufia,DAP,Température stockage détecté sur site Youssoufia,-0.6521,Résolu,2024-04-17 09:43,Auto-heal exécuté,29195.0
ANO-0052,2024-11-26 15:50,Température stockage,Qualité,modéré,Youssoufia,Acide phosphorique,Température stockage détecté sur site Youssoufia,-0.5292,Résolu,2024-11-26 22:52,Intervention humaine,3443.0
ANO-0053,2024-05-07 00:39,Écart qualité produit,Qualité,critique,Youssoufia,MAP,Écart qualité produit détecté sur site Youssoufia,-0.4746,Résolu,2024-05-07 01:23,Simulation lancée,58473.0
ANO-0054,2024-11-10 03:56,Retard livraison critique,Logistique,critique,Casablanca Port,DAP,Retard livraison critique détecté sur site Casablanca Port,-0.6874,Actif,,Alerte envoyée,49061.0
ANO-0055,2024-12-19 04:04,Écart qualité produit,Qualité,critique,Casablanca Port,Urée,Écart qualité produit détecté sur site Casablanca Port,-0.5043,Résolu,2024-12-19 04:33,Simulation lancée,36411.0
ANO-0056,2024-03-31 01:37,Retard douanier,Logistique,faible,Casablanca Port,NPS,Retard douanier détecté sur site Casablanca Port,-0.4486,Résolu,2024-03-31 08:18,Intervention humaine,60666.0
ANO-0057,2024-03-27 17:43,Route bloquée,Logistique,modéré,Benguerir,Urée,Route bloquée détecté sur site Benguerir,-0.4278,Actif,,Intervention humaine,74042.0
ANO-0058,2024-01-06 09:40,Retard livraison critique,Logistique,critique,Youssoufia,Acide phosphorique,Retard livraison critique détecté sur site Youssoufia,-0.6617,Résolu,2024-01-06 16:38,Intervention humaine,37248.0
ANO-0059,2024-01-31 22:45,Surcharge conducteur,SST,critique,Benguerir,NPS,Surcharge conducteur détecté sur site Benguerir,-0.4778,Résolu,2024-01-31 23:12,Simulation lancée,21822.0
ANO-0060,2024-08-18 00:31,Délai fournisseur,Approvisionnement,modéré,Casablanca Port,DAP,Délai fournisseur détecté sur site Casablanca Port,-0.4201,Résolu,2024-08-18 02:04,Simulation lancée,30657.0
ANO-0061,2024-09-09 03:35,Rupture stock imminente,Stock,critique,Safi,DAP,Rupture stock imminente détecté sur site Safi,-0.383,Résolu,2024-09-09 06:39,Auto-heal exécuté,45392.0
ANO-0062,2024-05-16 02:35,Écart qualité produit,Qualité,critique,Youssoufia,MAP,Écart qualité produit détecté sur site Youssoufia,-0.7118,Résolu,2024-05-16 03:51,Intervention humaine,36928.0
ANO-0063,2024-12-21 18:18,Défaillance équipement,Maintenance,critique,Benguerir,Phosphate brut,Défaillance équipement détecté sur site Benguerir,-0.1569,Résolu,2024-12-22 02:02,Intervention humaine,3934.0
ANO-0064,2024-01-30 17:43,Délai fournisseur,Approvisionnement,modéré,Benguerir,MAP,Délai fournisseur détecté sur site Benguerir,-0.5327,Résolu,2024-01-30 23:56,Auto-heal exécuté,29042.0
ANO-0065,2024-08-22 13:25,Température stockage,Qualité,modéré,Casablanca Port,DAP,Température stockage détecté sur site Casablanca Port,-0.6712,Résolu,2024-08-22 19:49,Simulation lancée,61475.0
ANO-0066,2024-12-02 15:49,Retard douanier,Logistique,faible,Khouribga,Phosphate brut,Retard douanier détecté sur site Khouribga,-0.4004,Actif,,Simulation lancée,52517.0
ANO-0067,2024-07-08 07:52,Route bloquée,Logistique,modéré,Laayoune,DAP,Route bloquée détecté sur site Laayoune,-0.538,Résolu,2024-07-08 11:56,Alerte envoyée,64781.0
ANO-0068,2024-05-24 05:57,Écart qualité produit,Qualité,critique,Benguerir,DAP,Écart qualité produit détecté sur site Benguerir,-0.3768,Résolu,2024-05-24 13:44,Alerte envoyée,57809.0
ANO-0069,2024-11-12 06:26,Défaillance équipement,Maintenance,critique,Khouribga,Urée,Défaillance équipement détecté sur site Khouribga,-0.34,Résolu,2024-11-12 08:48,Simulation lancée,39576.0
ANO-0070,2024-03-16 10:57,Température stockage,Qualité,modéré,Benguerir,DAP,Température stockage détecté sur site Benguerir,-0.3037,Résolu,2024-03-16 12:52,Auto-heal exécuté,52162.0
ANO-0071,2024-12-23 19:01,Retard douanier,Logistique,faible,Casablanca Port,Sulfate d'ammonium,Retard douanier détecté sur site Casablanca Port,-0.421,Résolu,2024-12-23 23:06,Auto-heal exécuté,29479.0
ANO-0072,2024-12-11 03:54,Délai fournisseur,Approvisionnement,modéré,Benguerir,NPS,Délai fournisseur détecté sur site Benguerir,-0.6526,Résolu,2024-12-11 09:53,Alerte envoyée,57367.0
ANO-0073,2024-01-26 01:29,Défaillance équipement,Maintenance,critique,Safi,MAP,Défaillance équipement détecté sur site Safi,-0.358,Résolu,2024-01-26 06:18,Simulation lancée,7521.0
ANO-0074,2024-10-13 18:13,Retard douanier,Logistique,faible,Jorf Lasfar,Sulfate d'ammonium,Retard douanier détecté sur site Jorf Lasfar,-0.484,Résolu,2024-10-13 22:14,Auto-heal exécuté,13674.0
ANO-0075,2024-09-30 02:47,Variation demande >20%,Prévision,faible,Youssoufia,Urée,Variation demande >20% détecté sur site Youssoufia,-0.1029,Résolu,2024-09-30 03:00,Simulation lancée,47519.0
ANO-0076,2024-10-18 11:48,Surcharge conducteur,SST,critique,Youssoufia,TSP,Surcharge conducteur détecté sur site Youssoufia,-0.5351,Actif,,Auto-heal exécuté,8695.0
ANO-0077,2024-03-26 22:20,Surstock détecté,Stock,modéré,Youssoufia,TSP,Surstock détecté détecté sur site Youssoufia,-0.1946,Résolu,2024-03-27 04:54,Intervention humaine,46981.0
ANO-0078,2024-06-18 03:12,Délai fournisseur,Approvisionnement,modéré,Laayoune,Acide phosphorique,Délai fournisseur détecté sur site Laayoune,-0.5764,Résolu,2024-06-18 06:19,Auto-heal exécuté,56628.0
ANO-0079,2024-09-03 19:45,Température stockage,Qualité,modéré,Casablanca Port,Urée,Température stockage détecté sur site Casablanca Port,-0.6424,Résolu,2024-09-03 23:13,Intervention humaine,64452.0
ANO-0080,2024-12-15 02:27,Défaillance équipement,Maintenance,critique,Laayoune,TSP,Défaillance équipement détecté sur site Laayoune,-0.52,Résolu,2024-12-15 02:30,Simulation lancée,64968.0
ANO-0081,2024-03-17 08:52,Température stockage,Qualité,modéré,Youssoufia,Urée,Température stockage détecté sur site Youssoufia,-0.118,Résolu,2024-03-17 12:24,Alerte envoyée,54277.0
ANO-0082,2024-04-17 15:10,Variation demande >20%,Prévision,faible,Youssoufia,MAP,Variation demande >20% détecté sur site Youssoufia,-0.3803,Résolu,2024-04-17 21:26,Intervention humaine,80394.0
ANO-0083,2024-07-13 03:14,Délai fournisseur,Approvisionnement,modéré,Jorf Lasfar,NPS,Délai fournisseur détecté sur site Jorf Lasfar,-0.3209,Résolu,2024-07-13 06:25,Auto-heal exécuté,63281.0
ANO-0084,2025-03-04 19:05,Température stockage,Qualité,modéré,Safi,Phosphate brut,Température stockage détecté sur site Safi,-0.2048,Résolu,2025-03-04 20:29,Intervention humaine,31686.0
ANO-0085,2025-01-01 17:51,Surstock détecté,Stock,modéré,Youssoufia,Phosphate brut,Surstock détecté détecté sur site Youssoufia,-0.5741,Actif,,Simulation lancée,5977.0
ANO-0086,2025-03-24 15:17,Rupture stock imminente,Stock,critique,Youssoufia,Phosphate brut,Rupture stock imminente détecté sur site Youssoufia,-0.3214,Résolu,2025-03-24 19:06,Alerte envoyée,67826.0
ANO-0087,2024-03-27 08:07,Surcharge conducteur,SST,critique,Jorf Lasfar,Sulfate d'ammonium,Surcharge conducteur détecté sur site Jorf Lasfar,-0.1895,Actif,,Alerte envoyée,21191.0
ANO-0088,2024-01-06 08:18,Retard douanier,Logistique,faible,Khouribga,Urée,Retard douanier détecté sur site Khouribga,-0.1931,Résolu,2024-01-06 12:20,Intervention humaine,6446.0
ANO-0089,2025-02-21 08:46,Écart qualité produit,Qualité,critique,Benguerir,DAP,Écart qualité produit détecté sur site Benguerir,-0.493,Résolu,2025-02-21 15:51,Auto-heal exécuté,25255.0
ANO-0090,2024-01-31 23:54,Écart qualité produit,Qualité,critique,Laayoune,NPS,Écart qualité produit détecté sur site Laayoune,-0.5,Résolu,2024-02-01 00:59,Auto-heal exécuté,12836.0
ANO-0091,2025-03-26 08:28,Défaillance équipement,Maintenance,critique,Laayoune,MAP,Défaillance équipement détecté sur site Laayoune,-0.2946,Résolu,2025-03-26 11:37,Intervention humaine,55977.0
ANO-0092,2025-01-09 20:08,Seuil CO₂ dépassé,Environnement,modéré,Youssoufia,MAP,Seuil CO₂ dépassé détecté sur site Youssoufia,-0.569,Résolu,2025-01-10 02:05,Auto-heal exécuté,39221.0
ANO-0093,2024-07-09 02:04,Retard douanier,Logistique,faible,Safi,Sulfate d'ammonium,Retard douanier détecté sur site Safi,-0.5933,Résolu,2024-07-09 05:53,Simulation lancée,67033.0
ANO-0094,2025-03-17 08:35,Retard douanier,Logistique,faible,Benguerir,DAP,Retard douanier détecté sur site Benguerir,-0.2671,Résolu,2025-03-17 09:52,Simulation lancée,2692.0
ANO-0095,2024-10-08 17:40,Délai fournisseur,Approvisionnement,modéré,Jorf Lasfar,Acide phosphorique,Délai fournisseur détecté sur site Jorf Lasfar,-0.1386,Résolu,2024-10-08 19:03,Simulation lancée,40662.0
ANO-0096,2024-08-17 00:57,Surcharge conducteur,SST,critique,Casablanca Port,TSP,Surcharge conducteur détecté sur site Casablanca Port,-0.6974,Résolu,2024-08-17 03:28,Intervention humaine,22242.0
ANO-0097,2024-06-13 09:39,Surstock détecté,Stock,modéré,Khouribga,TSP,Surstock détecté détecté sur site Khouribga,-0.391,Résolu,2024-06-13 11:53,Simulation lancée,61436.0
ANO-0098,2025-02-05 10:11,Retard douanier,Logistique,faible,Laayoune,TSP,Retard douanier détecté sur site Laayoune,-0.1193,Résolu,2025-02-05 15:42,Alerte envoyée,50113.0
ANO-0099,2025-02-10 11:42,Route bloquée,Logistique,modéré,Benguerir,NPS,Route bloquée détecté sur site Benguerir,-0.3461,Résolu,2025-02-10 19:09,Intervention humaine,15320.0
ANO-0100,2024-02-20 07:04,Écart qualité produit,Qualité,critique,Khouribga,Acide phosphorique,Écart qualité produit détecté sur site Khouribga,-0.6555,Résolu,2024-02-20 08:22,Simulation lancée,51930.0
ANO-0101,2024-04-02 21:20,Retard douanier,Logistique,faible,Laayoune,Sulfate d'ammonium,Retard douanier détecté sur site Laayoune,-0.4508,Résolu,2024-04-03 02:13,Auto-heal exécuté,71478.0
ANO-0102,2024-06-06 07:25,Route bloquée,Logistique,modéré,Youssoufia,DAP,Route bloquée détecté sur site Youssoufia,-0.5211,Résolu,2024-06-06 08:17,Simulation lancée,43377.0
ANO-0103,2025-02-19 08:32,Défaillance équipement,Maintenance,critique,Jorf Lasfar,MAP,Défaillance équipement détecté sur site Jorf Lasfar,-0.1207,Actif,,Auto-heal exécuté,38240.0
ANO-0104,2024-07-09 01:23,Route bloquée,Logistique,modéré,Youssoufia,TSP,Route bloquée détecté sur site Youssoufia,-0.3172,Résolu,2024-07-09 06:58,Alerte envoyée,19795.0
ANO-0105,2024-05-17 19:32,Retard douanier,Logistique,faible,Safi,Acide phosphorique,Retard douanier détecté sur site Safi,-0.4136,Résolu,2024-05-17 20:20,Alerte envoyée,62467.0
ANO-0106,2025-02-09 21:10,Retard livraison critique,Logistique,critique,Youssoufia,Phosphate brut,Retard livraison critique détecté sur site Youssoufia,-0.6407,Résolu,2025-02-10 02:11,Intervention humaine,39731.0
ANO-0107,2024-02-09 16:15,Route bloquée,Logistique,modéré,Laayoune,MAP,Route bloquée détecté sur site Laayoune,-0.6625,Résolu,2024-02-09 17:16,Intervention humaine,7546.0
ANO-0108,2025-02-25 06:29,Surstock détecté,Stock,modéré,Khouribga,NPS,Surstock détecté détecté sur site Khouribga,-0.59,Résolu,2025-02-25 06:35,Intervention humaine,73266.0
ANO-0109,2024-12-09 19:26,Retard livraison critique,Logistique,critique,Casablanca Port,Phosphate brut,Retard livraison critique détecté sur site Casablanca Port,-0.3877,Résolu,2024-12-10 00:53,Intervention humaine,84344.0
ANO-0110,2024-11-12 06:10,Défaillance équipement,Maintenance,critique,Laayoune,NPS,Défaillance équipement détecté sur site Laayoune,-0.3582,Résolu,2024-11-12 09:00,Intervention humaine,43950.0
ANO-0111,2024-07-24 05:02,Température stockage,Qualité,modéré,Benguerir,Phosphate brut,Température stockage détecté sur site Benguerir,-0.5612,Actif,,Simulation lancée,53390.0
ANO-0112,2024-05-21 12:05,Retard livraison critique,Logistique,critique,Laayoune,Sulfate d'ammonium,Retard livraison critique détecté sur site Laayoune,-0.1746,Résolu,2024-05-21 16:27,Intervention humaine,42394.0
ANO-0113,2024-12-01 13:20,Seuil CO₂ dépassé,Environnement,modéré,Khouribga,MAP,Seuil CO₂ dépassé détecté sur site Khouribga,-0.1523,Résolu,2024-12-01 17:08,Simulation lancée,54401.0
ANO-0114,2024-05-21 20:56,Route bloquée,Logistique,modéré,Laayoune,MAP,Route bloquée détecté sur site Laayoune,-0.266,Résolu,2024-05-21 22:47,Simulation lancée,42900.0
ANO-0115,2025-02-15 23:21,Délai fournisseur,Approvisionnement,modéré,Laayoune,Acide phosphorique,Délai fournisseur détecté sur site Laayoune,-0.1507,Résolu,2025-02-16 01:10,Alerte envoyée,27858.0
ANO-0116,2024-11-03 18:26,Surstock détecté,Stock,modéré,Laayoune,TSP,Surstock détecté détecté sur site Laayoune,-0.3729,Actif,,Alerte envoyée,28020.0
ANO-0117,2024-11-19 19:45,Route bloquée,Logistique,modéré,Safi,Acide phosphorique,Route bloquée détecté sur site Safi,-0.6399,Résolu,2024-11-19 22:01,Intervention humaine,79451.0
ANO-0118,2024-04-22 14:44,Défaillance équipement,Maintenance,critique,Benguerir,Sulfate d'ammonium,Défaillance équipement détecté sur site Benguerir,-0.2195,Résolu,2024-04-22 17:27,Intervention humaine,26527.0
ANO-0119,2024-11-19 23:44,Variation demande >20%,Prévision,faible,Safi,Urée,Variation demande >20% détecté sur site Safi,-0.7613,Résolu,2024-11-20 03:15,Simulation lancée,55069.0
ANO-0120,2024-07-31 23:35,Seuil CO₂ dépassé,Environnement,modéré,Safi,Phosphate brut,Seuil CO₂ dépassé détecté sur site Safi,-0.654,Résolu,2024-08-01 05:43,Simulation lancée,25410.0
ANO-0121,2024-09-06 23:38,Délai fournisseur,Approvisionnement,modéré,Khouribga,Urée,Délai fournisseur détecté sur site Khouribga,-0.572,Résolu,2024-09-07 04:26,Alerte envoyée,67887.0
ANO-0122,2024-12-07 20:07,Variation demande >20%,Prévision,faible,Jorf Lasfar,MAP,Variation demande >20% détecté sur site Jorf Lasfar,-0.7479,Actif,,Alerte envoyée,28003.0
ANO-0123,2024-12-30 23:02,Surcharge conducteur,SST,critique,Casablanca Port,DAP,Surcharge conducteur détecté sur site Casablanca Port,-0.2531,Actif,,Intervention humaine,58619.0
ANO-0124,2024-07-13 01:28,Retard douanier,Logistique,faible,Safi,Urée,Retard douanier détecté sur site Safi,-0.7585,Résolu,2024-07-13 01:58,Simulation lancée,23826.0
ANO-0125,2024-08-08 18:31,Délai fournisseur,Approvisionnement,modéré,Safi,TSP,Délai fournisseur détecté sur site Safi,-0.1834,Résolu,2024-08-08 19:10,Simulation lancée,83072.0
ANO-0126,2024-04-27 21:14,Retard douanier,Logistique,faible,Safi,Acide phosphorique,Retard douanier détecté sur site Safi,-0.3981,Actif,,Auto-heal exécuté,37533.0
ANO-0127,2025-02-28 13:05,Délai fournisseur,Approvisionnement,modéré,Jorf Lasfar,Acide phosphorique,Délai fournisseur détecté sur site Jorf Lasfar,-0.4103,Résolu,2025-02-28 20:05,Simulation lancée,58769.0
ANO-0128,2024-02-22 19:41,Seuil CO₂ dépassé,Environnement,modéré,Laayoune,Sulfate d'ammonium,Seuil CO₂ dépassé détecté sur site Laayoune,-0.13,Actif,,Simulation lancée,76981.0
ANO-0129,2024-06-15 20:24,Surcharge conducteur,SST,critique,Casablanca Port,NPS,Surcharge conducteur détecté sur site Casablanca Port,-0.6406,Résolu,2024-06-15 23:31,Simulation lancée,17314.0
ANO-0130,2024-07-17 08:12,Retard douanier,Logistique,faible,Benguerir,DAP,Retard douanier détecté sur site Benguerir,-0.7018,Résolu,2024-07-17 13:42,Intervention humaine,36609.0
ANO-0131,2024-02-07 07:21,Surcharge conducteur,SST,critique,Laayoune,DAP,Surcharge conducteur détecté sur site Laayoune,-0.1609,Actif,,Simulation lancée,1869.0
ANO-0132,2025-01-26 15:11,Écart qualité produit,Qualité,critique,Khouribga,Sulfate d'ammonium,Écart qualité produit détecté sur site Khouribga,-0.2469,Actif,,Intervention humaine,24384.0
ANO-0133,2024-02-22 03:00,Délai fournisseur,Approvisionnement,modéré,Casablanca Port,MAP,Délai fournisseur détecté sur site Casablanca Port,-0.118,Résolu,2024-02-22 09:41,Auto-heal exécuté,45434.0
ANO-0134,2024-03-09 03:24,Route bloquée,Logistique,modéré,Laayoune,NPS,Route bloquée détecté sur site Laayoune,-0.373,Résolu,2024-03-09 05:03,Auto-heal exécuté,65321.0
ANO-0135,2024-08-03 01:08,Écart qualité produit,Qualité,critique,Laayoune,TSP,Écart qualité produit détecté sur site Laayoune,-0.3447,Résolu,2024-08-03 01:47,Alerte envoyée,55242.0
ANO-0136,2025-02-13 21:18,Délai fournisseur,Approvisionnement,modéré,Safi,Urée,Délai fournisseur détecté sur site Safi,-0.1774,Actif,,Intervention humaine,49065.0
