commande_id,date_commande,produit,categorie,quantite_t,prix_unitaire_usd,montant_total_usd,client_id,client_nom,pays_client,priorite_client,site_origine,date_livraison_prevue,statut,retard_jours,fournisseur_id
CMD-0043,2025-02-20 11:47,MAP,Engrais,3225.3,580.53,1872382.25,C005,Amajour Agri,Maroc,A,Benguerir,2025-02-27,Livrée,0,F003
CMD-0044,2024-08-31 15:22,TSP,Engrais,586.6,474.97,278620.04,C005,Amajour Agri,Maroc,A,Khouribga,2024-09-16,Annulée,0,F001
CMD-0045,2025-02-07 20:01,Urée,Engrais,269.7,376.11,101437.49,C004,Bunge Brasil,Brésil,B,Benguerir,2025-03-02,En cours,0,F002
CMD-0046,2024-08-31 19:48,Sulfate d'ammonium,Engrais,4746.9,224.14,1063960.2,C007,OCP Kenya,Kenya,A,Khouribga,2024-09-12,En cours,0,F003
CMD-0047,2024-04-08 20:48,Acide phosphorique,Chimique,2041.9,822.21,1678868.78,C007,OCP Kenya,Kenya,A,Benguerir,2024-04-21,En cours,0,F004
CMD-0048,2024-08-10 20:27,TSP,Engrais,2762.3,441.63,1219917.8,C005,Amajour Agri,Maroc,A,Safi,2024-08-20,En attente,0,F005
CMD-0049,2025-01-02 12:49,Sulfate d'ammonium,Engrais,2238.7,200.38,448591.53,C008,Pakistan Fertilizer,Pakistan,C,Safi,2025-01-17,En cours,0,F003
CMD-0050,2024-08-29 02:38,Sulfate d'ammonium,Engrais,4762.4,201.09,957678.56,C002,AgriMaroc Sud,Maroc,A,Laayoune,2024-09-05,Livrée,0,F001
CMD-0051,2024-11-17 21:44,Phosphate brut,Minerai,4256.2,111.8,475835.93,C008,Pakistan Fertilizer,Pakistan,C,Jorf Lasfar,2024-12-11,En cours,0,F004
CMD-0052,2024-03-23 18:55,NPS,Engrais,780.5,525.31,410004.45,C007,OCP Kenya,Kenya,A,Youssoufia,2024-04-12,Livrée,0,F005
CMD-0053,2024-12-20 13:03,NPS,Engrais,1283.5,538.42,691067.52,C001,OCP Export EU,France,A,Jorf Lasfar,2024-12-31,En cours,0,F005
CMD-0054,2024-11-27 11:01,Sulfate d'ammonium,Engrais,4084.3,223.17,911500.92,C008,Pakistan Fertilizer,Pakistan,C,Jorf Lasfar,2024-12-19,Livrée,0,F002
CMD-0055,2024-08-03 09:27,NPS,Engrais,3771.3,537.73,2027951.75,C008,Pakistan Fertilizer,Pakistan,C,Benguerir,2024-08-25,Livrée,0,F002
CMD-0056,2024-09-17 20:39,Acide phosphorique,Chimique,3582.0,813.89,2915358.02,C008,Pakistan Fertilizer,Pakistan,C,Khouribga,2024-10-04,Livrée,0,F002
CMD-0057,2024-11-18 05:41,Phosphate brut,Minerai,806.4,114.51,92339.17,C007,OCP Kenya,Kenya,A,Casablanca Port,2024-11-29,Livrée,0,F004
CMD-0058,2025-03-29 16:01,DAP,Engrais,2129.7,660.16,1405942.7,C004,Bunge Brasil,Brésil,B,Laayoune,2025-04-11,En attente,0,F005
CMD-0059,2024-10-29 21:52,Urée,Engrais,4716.6,367.76,1734556.3,C008,Pakistan Fertilizer,Pakistan,C,Khouribga,2024-11-18,Livrée,0,F005
CMD-0060,2024-10-29 00:49,Phosphate brut,Minerai,1401.0,119.72,167733.78,C008,Pakistan Fertilizer,Pakistan,C,Youssoufia,2024-11-13,En cours,0,F004
CMD-0061,2024-11-02 01:04,TSP,Engrais,4904.6,482.62,2367061.46,C008,Pakistan Fertilizer,Pakistan,C,Youssoufia,2024-11-21,En cours,0,F001
CMD-0062,2024-10-21 11:00,Urée,Engrais,2335.4,352.66,823595.87,C003,Fertil India Ltd,Inde,B,Laayoune,2024-10-30,Livrée,0,F003
CMD-0063,2024-03-04 14:50,Urée,Engrais,4758.5,375.23,1785537.39,C005,Amajour Agri,Maroc,A,Laayoune,2024-03-12,En cours,0,F001
CMD-0064,2024-02-01 06:27,Sulfate d'ammonium,Engrais,389.7,225.36,87824.66,C004,Bunge Brasil,Brésil,B,Casablanca Port,2024-02-14,Retardée,0,F002
CMD-0065,2025-03-14 01:09,DAP,Engrais,674.8,636.81,429719.6,C003,Fertil India Ltd,Inde,B,Youssoufia,2025-03-26,En cours,0,F003
CMD-0066,2024-03-24 23:06,TSP,Engrais,4105.5,515.69,2117167.58,C002,AgriMaroc Sud,Maroc,A,Laayoune,2024-04-03,Retardée,0,F005
CMD-0067,2024-07-07 15:02,Urée,Engrais,1031.7,385.6,397823.06,C007,OCP Kenya,Kenya,A,Casablanca Port,2024-07-13,En attente,0,F005
CMD-0068,2024-02-23 13:26,MAP,Engrais,2687.1,605.25,1626360.87,C001,OCP Export EU,France,A,Benguerir,2024-03-14,Livrée,0,F004
CMD-0069,2024-12-23 02:09,NPS,Engrais,4805.9,521.06,2504180.25,C002,AgriMaroc Sud,Maroc,A,Safi,2025-01-07,Livrée,0,F005
CMD-0070,2024-07-27 11:15,Acide phosphorique,Chimique,2206.1,881.42,1944499.7,C008,Pakistan Fertilizer,Pakistan,C,Safi,2024-08-08,En attente,0,F001
CMD-0071,2024-10-21 08:52,Acide phosphorique,Chimique,3764.9,859.5,3235929.86,C008,Pakistan Fertilizer,Pakistan,C,Youssoufia,2024-10-30,Livrée,0,F003
CMD-0072,2024-08-05 05:12,TSP,Engrais,1806.4,461.44,833547.86,C008,Pakistan Fertilizer,Pakistan,C,Youssoufia,2024-08-29,En cours,0,F003
CMD-0073,2025-03-07 05:14,DAP,Engrais,1244.7,610.72,760160.28,C004,Bunge Brasil,Brésil,B,Khouribga,2025-03-24,En cours,0,F004
CMD-0074,2024-07-07 23:32,NPS,Engrais,1506.5,502.2,756562.99,C001,OCP Export EU,France,A,Khouribga,2024-07-23,En cours,0,F004
CMD-0075,2024-12-18 10:25,Sulfate d'ammonium,Engrais,2774.4,205.02,568809.8,C007,OCP Kenya,Kenya,A,Casablanca Port,2024-12-27,Livrée,0,F001
CMD-0076,2024-05-23 19:26,Phosphate brut,Minerai,3727.3,128.66,479542.67,C006,Yara West Africa,Sénégal,B,Khouribga,2024-05-29,En cours,0,F003
CMD-0077,2024-05-19 09:01,Acide phosphorique,Chimique,1010.9,812.94,821798.73,C002,AgriMaroc Sud,Maroc,A,Laayoune,2024-05-27,En cours,0,F002
CMD-0078,2024-04-08 02:01,Acide phosphorique,Chimique,2789.1,876.85,2445618.89,C001,OCP Export EU,France,A,Khouribga,2024-04-29,Livrée,0,F001
CMD-0079,2024-02-09 21:43,Acide phosphorique,Chimique,2230.3,807.07,1800015.94,C008,Pakistan Fertilizer,Pakistan,C,Safi,2024-02-24,Livrée,0,F001
CMD-0080,2024-04-27 20:23,Urée,Engrais,2906.3,391.34,1137340.46,C008,Pakistan Fertilizer,Pakistan,C,Khouribga,2024-05-09,Retardée,7,F001
CMD-0081,2024-06-24 07:06,Phosphate brut,Minerai,3834.0,122.04,467906.34,C002,AgriMaroc Sud,Maroc,A,Jorf Lasfar,2024-07-14,Livrée,0,F004
CMD-0082,2024-03-18 01:50,Acide phosphorique,Chimique,2864.7,790.19,2263661.08,C007,OCP Kenya,Kenya,A,Benguerir,2024-04-06,En cours,0,F003
CMD-0083,2024-01-03 01:52,MAP,Engrais,910.4,549.89,500616.33,C003,Fertil India Ltd,Inde,B,Youssoufia,2024-01-18,En cours,0,F004
CMD-0084,2024-12-18 15:45,Acide phosphorique,Chimique,1476.1,820.45,1211065.8,C001,OCP Export EU,France,A,Youssoufia,2025-01-02,Livrée,0,F003
CMD-0085,2024-07-25 07:44,Phosphate brut,Minerai,2745.6,122.83,337254.64,C007,OCP Kenya,Kenya,A,Khouribga,2024-08-09,Livrée,0,F002
CMD-0086,2024-11-08 15:18,Acide phosphorique,Chimique,665.6,875.66,582839.43,C005,Amajour Agri,Maroc,A,Safi,2024-11-24,Livrée,0,F004
CMD-0087,2024-01-21 02:09,MAP,Engrais,3685.9,599.79,2210768.05,C001,OCP Export EU,France,A,Safi,2024-01-27,Retardée,1,F005
CMD-0088,2024-12-31 10:46,DAP,Engrais,249.1,645.42,160774.59,C005,Amajour Agri,Maroc,A,Jorf Lasfar,2025-01-20,Livrée,0,F003
CMD-0089,2024-12-31 01:37,TSP,Engrais,4080.5,516.02,2105633.66,C007,OCP Kenya,Kenya,A,Casablanca Port,2025-01-12,Livrée,0,F001
CMD-0090,2024-11-07 00:58,TSP,Engrais,3483.7,463.74,1615514.06,C006,Yara West Africa,Sénégal,B,Safi,2024-11-29,Livrée,0,F001
CMD-0091,2025-02-03 16:46,Sulfate d'ammonium,Engrais,623.8,219.16,136710.52,C005,Amajour Agri,Maroc,A,Benguerir,2025-02-17,En cours,0,F005
CMD-0092,2025-01-22 04:35,NPS,Engrais,978.5,498.72,487998.69,C007,OCP Kenya,Kenya,A,Khouribga,2025-02-10,En attente,0,F002
CMD-0093,2024-04-04 07:32,Acide phosphorique,Chimique,2218.7,876.96,1945715.6,C003,Fertil India Ltd,Inde,B,Benguerir,2024-04-18,En cours,0,F002
CMD-0094,2024-06-23 12:43,TSP,Engrais,117.7,472.93,55664.29,C005,Amajour Agri,Maroc,A,Jorf Lasfar,2024-07-08,Livrée,0,F001
CMD-0095,2024-11-18 17:18,TSP,Engrais,1494.7,495.78,741035.81,C008,Pakistan Fertilizer,Pakistan,C,Casablanca Port,2024-12-09,Annulée,0,F002
CMD-0096,2024-04-16 00:41,NPS,Engrais,993.5,518.11,514741.5,C003,Fertil India Ltd,Inde,B,Safi,2024-05-02,Livrée,0,F004
CMD-0097,2025-03-26 10:33,Sulfate d'ammonium,Engrais,62.7,217.6,13643.23,C005,Amajour Agri,Maroc,A,Laayoune,2025-04-13,En attente,0,F004
CMD-0098,2024-12-19 16:14,NPS,Engrais,2782.0,513.54,1428679.11,C006,Yara West Africa,Sénégal,B,Benguerir,2025-01-09,En attente,0,F002
CMD-0099,2025-01-02 08:54,Urée,Engrais,3888.9,352.25,1369879.63,C004,Bunge Brasil,Brésil,B,Laayoune,2025-01-20,Livrée,0,F002
CMD-0100,2024-03-18 22:55,NPS,Engrais,2536.3,517.36,1312176.93,C001,OCP Export EU,France,A,Youssoufia,2024-04-09,Livrée,0,F004
CMD-0101,2024-02-28 02:53,DAP,Engrais,4361.1,666.62,2907195.23,C003,Fertil India Ltd,Inde,B,Safi,2024-03-12,Livrée,0,F004
CMD-0102,2024-09-02 22:59,MAP,Engrais,3388.1,593.17,2009732.65,C006,Yara West Africa,Sénégal,B,Laayoune,2024-09-21,Retardée,5,F001
CMD-0103,2024-06-25 16:39,MAP,Engrais,3437.8,569.93,1959300.47,C004,Bunge Brasil,Brésil,B,Casablanca Port,2024-07-09,Livrée,0,F001
CMD-0104,2024-02-05 17:20,MAP,Engrais,3485.3,628.08,2189058.49,C008,Pakistan Fertilizer,Pakistan,C,Youssoufia,2024-02-12,Livrée,0,F003
CMD-0105,2024-05-19 20:30,Urée,Engrais,2679.3,384.01,1028873.78,C003,Fertil India Ltd,Inde,B,Youssoufia,2024-05-24,Livrée,0,F004
CMD-0106,2024-07-16 06:28,Phosphate brut,Minerai,758.4,119.25,90442.29,C008,Pakistan Fertilizer,Pakistan,C,Jorf Lasfar,2024-07-27,En cours,0,F004
CMD-0107,2024-08-20 08:38,Acide phosphorique,Chimique,2236.6,829.0,1854134.52,C003,Fertil India Ltd,Inde,B,Khouribga,2024-09-09,En cours,0,F004
CMD-0108,2024-10-23 05:08,Acide phosphorique,Chimique,4274.0,796.5,3404261.7,C004,Bunge Brasil,Brésil,B,Safi,2024-11-10,En cours,0,F003
CMD-0109,2024-02-08 02:15,DAP,Engrais,90.1,656.21,59124.94,C007,OCP Kenya,Kenya,A,Benguerir,2024-03-04,En cours,0,F003
CMD-0110,2024-04-16 05:44,Phosphate brut,Minerai,3201.3,122.32,391586.57,C006,Yara West Africa,Sénégal,B,Youssoufia,2024-04-27,Retardée,0,F001
CMD-0111,2024-03-11 00:12,Acide phosphorique,Chimique,2918.9,881.6,2573304.95,C008,Pakistan Fertilizer,Pakistan,C,Khouribga,2024-04-02,Livrée,0,F004
CMD-0112,2024-10-11 04:04,TSP,Engrais,3943.2,508.91,2006742.48,C004,Bunge Brasil,Brésil,B,Youssoufia,2024-10-28,Retardée,6,F002
CMD-0113,2024-03-30 10:55,Acide phosphorique,Chimique,1511.0,900.37,1360465.09,C008,Pakistan Fertilizer,Pakistan,C,Laayoune,2024-04-11,Livrée,0,F002
CMD-0114,2025-02-20 18:25,Urée,Engrais,3963.9,350.45,1389133.91,C006,Yara West Africa,Sénégal,B,Khouribga,2025-03-01,Livrée,0,F003
CMD-0115,2025-03-12 01:23,Urée,Engrais,3390.4,378.27,1282472.35,C006,Yara West Africa,Sénégal,B,Khouribga,2025-03-27,Livrée,0,F001
CMD-0116,2024-01-29 21:41,NPS,Engrais,2071.1,480.61,995382.68,C005,Amajour Agri,Maroc,A,Casablanca Port,2024-02-11,Livrée,0,F002
CMD-0117,2025-02-23 13:55,TSP,Engrais,1886.5,514.51,970627.72,C007,OCP Kenya,Kenya,A,Safi,2025-03-11,En cours,0,F002
CMD-0118,2024-08-05 06:44,Urée,Engrais,2472.3,374.41,925662.36,C002,AgriMaroc Sud,Maroc,A,Laayoune,2024-08-11,Livrée,0,F004
CMD-0119,2024-10-05 14:09,Phosphate brut,Minerai,4905.6,117.45,576176.61,C006,Yara West Africa,Sénégal,B,Khouribga,2024-10-11,Livrée,0,F001
CMD-0120,2024-01-17 14:07,NPS,Engrais,1099.9,521.38,573468.75,C002,AgriMaroc Sud,Maroc,A,Casablanca Port,2024-01-24,Livrée,0,F002
CMD-0121,2024-06-16 17:37,Phosphate brut,Minerai,3837.5,114.38,438923.36,C002,AgriMaroc Sud,Maroc,A,Laayoune,2024-07-02,Livrée,0,F002
CMD-0122,2025-02-23 14:20,DAP,Engrais,4920.9,668.36,3288946.05,C005,Amajour Agri,Maroc,A,Laayoune,2025-03-03,Livrée,0,F001
CMD-0123,2024-09-08 11:32,TSP,Engrais,3960.4,459.87,1821281.61,C001,OCP Export EU,France,A,Benguerir,2024-09-11,Livrée,0,F002
CMD-0124,2024-10-08 04:53,Urée,Engrais,364.6,376.86,137401.38,C002,AgriMaroc Sud,Maroc,A,Casablanca Port,2024-10-26,Livrée,0,F005
CMD-0125,2025-02-09 00:33,Phosphate brut,Minerai,3927.0,127.05,498909.77,C001,OCP Export EU,France,A,Casablanca Port,2025-02-20,En cours,0,F001
CMD-0126,2025-01-15 19:16,DAP,Engrais,2038.0,638.46,1301183.26,C008,Pakistan Fertilizer,Pakistan,C,Laayoune,2025-02-04,Livrée,0,F001
CMD-0127,2025-03-30 15:59,Sulfate d'ammonium,Engrais,674.6,214.18,144483.85,C003,Fertil India Ltd,Inde,B,Khouribga,2025-04-13,Livrée,0,F005
CMD-0128,2024-03-29 20:49,Acide phosphorique,Chimique,3046.9,795.49,2423773.21,C008,Pakistan Fertilizer,Pakistan,C,Jorf Lasfar,2024-04-25,En cours,0,F005
CMD-0129,2024-12-18 05:49,Phosphate brut,Minerai,4446.1,118.35,526174.69,C007,OCP Kenya,Kenya,A,Safi,2024-12-30,En cours,0,F003
CMD-0130,2025-01-03 08:59,Urée,Engrais,1311.7,407.58,534620.62,C006,Yara West Africa,Sénégal,B,Casablanca Port,2025-01-06,En attente,0,F001
CMD-0131,2025-03-08 03:30,Urée,Engrais,3707.0,398.96,1478928.31,C002,AgriMaroc Sud,Maroc,A,Casablanca Port,2025-03-18,Retardée,7,F005
CMD-0132,2024-11-24 12:06,Sulfate d'ammonium,Engrais,1800.3,215.56,388064.46,C002,AgriMaroc Sud,Maroc,A,Safi,2024-12-08,Retardée,0,F005
CMD-0133,2025-01-09 12:39,Acide phosphorique,Chimique,2910.7,810.93,2360381.16,C006,Yara West Africa,Sénégal,B,Khouribga,2025-01-17,Livrée,0,F005
CMD-0134,2024-11-29 07:14,Sulfate d'ammonium,Engrais,1428.9,200.8,286921.61,C002,AgriMaroc Sud,Maroc,A,Laayoune,2024-12-21,Annulée,0,F005
CMD-0135,2024-08-27 23:53,DAP,Engrais,943.1,640.11,603685.59,C005,Amajour Agri,Maroc,A,Khouribga,2024-09-17,Livrée,0,F002
CMD-0136,2024-01-24 19:29,TSP,Engrais,752.3,490.23,368798.23,C007,OCP Kenya,Kenya,A,Khouribga,2024-02-03,Livrée,0,F004
CMD-0137,2025-03-16 20:42,NPS,Engrais,1881.8,528.08,993745.14,C006,Yara West Africa,Sénégal,B,Youssoufia,2025-03-28,Retardée,0,F002
CMD-0138,2024-11-25 08:12,TSP,Engrais,453.8,475.63,215841.38,C001,OCP Export EU,France,A,Casablanca Port,2024-12-12,Livrée,0,F003
CMD-0139,2025-01-12 23:29,Phosphate brut,Minerai,2178.1,115.84,252307.47,C002,AgriMaroc Sud,Maroc,A,Benguerir,2025-01-30,Livrée,0,F002
CMD-0140,2024-04-16 14:14,Urée,Engrais,1061.9,407.08,432273.69,C001,OCP Export EU,France,A,Khouribga,2024-05-03,Livrée,0,F001
CMD-0141,2025-02-17 16:03,DAP,Engrais,2181.7,583.22,1272400.65,C008,Pakistan Fertilizer,Pakistan,C,Casablanca Port,2025-03-05,Livrée,0,F003
CMD-0142,2024-12-23 02:26,MAP,Engrais,3723.1,583.98,2174212.7,C007,OCP Kenya,Kenya,A,Laayoune,2025-01-09,En attente,0,F005
CMD-0143,2024-11-10 14:20,Urée,Engrais,3218.7,367.2,1181914.77,C007,OCP Kenya,Kenya,A,Casablanca Port,2024-11-16,Livrée,0,F005
CMD-0144,2024-12-04 09:35,NPS,Engrais,2211.7,477.84,1056835.26,C006,Yara West Africa,Sénégal,B,Khouribga,2024-12-21,Livrée,0,F004
CMD-0145,2025-01-31 12:05,Acide phosphorique,Chimique,1698.7,804.87,1367225.96,C006,Yara West Africa,Sénégal,B,Youssoufia,2025-02-15,Livrée,0,F002
CMD-0146,2024-04-24 17:08,Sulfate d'ammonium,Engrais,4793.2,214.89,1029995.81,C006,Yara West Africa,Sénégal,B,Casablanca Port,2024-04-29,Livrée,0,F002
CMD-0147,2025-01-18 19:00,TSP,Engrais,3807.8,447.39,1703560.72,C003,Fertil India Ltd,Inde,B,Laayoune,2025-02-04,En attente,0,F004
CMD-0148,2024-08-23 04:58,Sulfate d'ammonium,Engrais,2226.8,208.96,465302.66,C006,Yara West Africa,Sénégal,B,Youssoufia,2024-09-09,En cours,0,F003
CMD-0149,2024-08-10 23:30,MAP,Engrais,2287.0,548.17,1253665.75,C005,Amajour Agri,Maroc,A,Safi,2024-08-23,En attente,0,F001
CMD-0150,2024-02-01 20:43,Urée,Engrais,2793.9,397.74,1111252.83,C008,Pakistan Fertilizer,Pakistan,C,Jorf Lasfar,2024-02-18,En cours,0,F003
CMD-0151,2024-09-23 18:08,NPS,Engrais,2280.1,535.37,1220708.29,C003,Fertil India Ltd,Inde,B,Khouribga,2024-10-07,Livrée,0,F002
CMD-0152,2025-02-10 00:43,DAP,Engrais,2216.9,613.99,1361155.85,C004,Bunge Brasil,Brésil,B,Casablanca Port,2025-02-23,Livrée,0,F003
CMD-0153,2024-09-16 22:18,Urée,Engrais,1724.9,385.95,665727.67,C007,OCP Kenya,Kenya,A,Laayoune,2024-09-23,Livrée,0,F004
CMD-0154,2024-04-26 19:09,Acide phosphorique,Chimique,4265.3,913.16,3894900.34,C005,Amajour Agri,Maroc,A,Casablanca Port,2024-05-06,En cours,0,F002
CMD-0155,2024-03-06 19:16,Sulfate d'ammonium,Engrais,3507.5,206.37,723842.03,C005,Amajour Agri,Maroc,A,Casablanca Port,2024-03-19,Livrée,0,F003
CMD-0156,2024-01-15 03:50,TSP,Engrais,3368.8,480.65,1619220.17,C002,AgriMaroc Sud,Maroc,A,Casablanca Port,2024-01-25,Livrée,0,F002
CMD-0157,2024-02-29 22:27,Sulfate d'ammonium,Engrais,1171.4,197.82,231728.92,C008,Pakistan Fertilizer,Pakistan,C,Youssoufia,2024-03-06,Livrée,0,F005
CMD-0158,2024-04-29 19:28,DAP,Engrais,3109.3,629.65,1957760.94,C006,Yara West Africa,Sénégal,B,Laayoune,2024-05-05,En attente,0,F005
CMD-0159,2024-07-03 11:53,TSP,Engrais,2083.8,493.54,1028448.39,C008,Pakistan Fertilizer,Pakistan,C,Khouribga,2024-07-20,Livrée,0,F004
CMD-0160,2024-05-30 16:43,Phosphate brut,Minerai,4829.7,125.46,605933.72,C004,Bunge Brasil,Brésil,B,Benguerir,2024-06-14,Retardée,8,F004
