sim_id,evenement_id,anomalie_id,date_simulation,site,scenario,delta_delai_h,delta_cout_pct,delta_co2_pct,score_perf,score_co2,score_global,selectionne,alpha,beta,gamma
SIM-0015-S3,15,ANO-0100,2025-03-01 15:05,Laayoune,S3 — Redistribution stock,-0.08,-15.1,-28.1,1.0132,0.2809,0.798,True,0.4,0.35,0.25
SIM-0016-S1,16,ANO-0016,2024-02-02 07:18,Benguerir,S1 — Attendre,5.67,4.2,26.2,0.0556,-0.2622,0.1704,False,0.4,0.35,0.25
SIM-0016-S2,16,ANO-0016,2024-02-02 07:18,Benguerir,S2 — Fournisseur alternatif,0.82,20.6,1.8,0.8634,-0.0178,0.5464,False,0.4,0.35,0.25
SIM-0016-S3,16,ANO-0016,2024-02-02 07:18,Benguerir,S3 — Redistribution stock,-1.8,-14.8,-30.0,1.3004,0.3005,0.9188,True,0.4,0.35,0.25
SIM-0017-S1,17,ANO-0145,2024-09-05 23:32,Jorf Lasfar,S1 — Attendre,4.3,0.3,17.9,0.2833,-0.1788,0.2999,False,0.4,0.35,0.25
SIM-0017-S2,17,ANO-0145,2024-09-05 23:32,Jorf Lasfar,S2 — Fournisseur alternatif,0.09,13.0,-8.6,0.9845,0.0859,0.6451,False,0.4,0.35,0.25
SIM-0017-S3,17,ANO-0145,2024-09-05 23:32,Jorf Lasfar,S3 — Redistribution stock,-1.1,-18.0,-25.8,1.184,0.2584,0.869,True,0.4,0.35,0.25
SIM-0018-S1,18,ANO-0112,2024-11-27 03:09,Safi,S1 — Attendre,3.51,-0.1,19.8,0.4153,-0.1982,0.347,False,0.4,0.35,0.25
SIM-0018-S2,18,ANO-0112,2024-11-27 03:09,Safi,S2 — Fournisseur alternatif,-0.36,17.3,-7.2,1.0595,0.0722,0.6623,False,0.4,0.35,0.25
SIM-0018-S3,18,ANO-0112,2024-11-27 03:09,Safi,S3 — Redistribution stock,-1.0,-12.1,-35.7,1.1675,0.3569,0.8764,True,0.4,0.35,0.25
SIM-0019-S1,19,ANO-0011,2024-02-12 19:25,Jorf Lasfar,S1 — Attendre,2.75,-4.1,27.8,0.5413,-0.2784,0.3798,False,0.4,0.35,0.25
SIM-0019-S2,19,ANO-0011,2024-02-12 19:25,Jorf Lasfar,S2 — Fournisseur alternatif,0.5,18.6,-11.5,0.9174,0.1153,0.6182,False,0.4,0.35,0.25
SIM-0019-S3,19,ANO-0011,2024-02-12 19:25,Jorf Lasfar,S3 — Redistribution stock,-1.37,-19.5,-39.6,1.2288,0.3958,0.9407,True,0.4,0.35,0.25
SIM-0020-S1,20,ANO-0049,2024-08-23 07:19,Safi,S1 — Attendre,3.41,0.4,26.5,0.4322,-0.2647,0.3293,False,0.4,0.35,0.25
SIM-0020-S2,20,ANO-0049,2024-08-23 07:19,Safi,S2 — Fournisseur alternatif,0.37,16.5,-4.8,0.9386,0.0483,0.6069,False,0.4,0.35,0.25
SIM-0020-S3,20,ANO-0049,2024-08-23 07:19,Safi,S3 — Redistribution stock,-0.3,-14.9,-29.8,1.0503,0.2978,0.8182,True,0.4,0.35,0.25
SIM-0021-S1,21,ANO-0026,2024-02-04 17:39,Youssoufia,S1 — Attendre,3.83,-3.1,14.4,0.3618,-0.1443,0.3523,False,0.4,0.35,0.25
SIM-0021-S2,21,ANO-0026,2024-02-04 17:39,Youssoufia,S2 — Fournisseur alternatif,-0.36,20.7,-5.1,1.0599,0.0509,0.6489,False,0.4,0.35,0.25
SIM-0021-S3,21,ANO-0026,2024-02-04 17:39,Youssoufia,S3 — Redistribution stock,-0.86,-13.9,-39.3,1.143,0.3932,0.8851,True,0.4,0.35,0.25
SIM-0022-S1,22,ANO-0177,2024-10-23 07:27,Youssoufia,S1 — Attendre,2.47,-2.1,28.1,0.5891,-0.2809,0.3927,False,0.4,0.35,0.25
SIM-0022-S2,22,ANO-0177,2024-10-23 07:27,Youssoufia,S2 — Fournisseur alternatif,0.32,23.7,-8.4,0.9468,0.0838,0.6101,False,0.4,0.35,0.25
SIM-0022-S3,22,ANO-0177,2024-10-23 07:27,Youssoufia,S3 — Redistribution stock,-1.65,-16.1,-36.6,1.2743,0.3657,0.9357,True,0.4,0.35,0.25
SIM-0023-S1,23,ANO-0040,2024-11-08 05:03,Khouribga,S1 — Attendre,2.57,-2.5,23.4,0.5722,-0.2337,0.4036,False,0.4,0.35,0.25
SIM-0023-S2,23,ANO-0040,2024-11-08 05:03,Khouribga,S2 — Fournisseur alternatif,0.76,16.3,-3.6,0.8727,0.0359,0.5765,False,0.4,0.35,0.25
SIM-0023-S3,23,ANO-0040,2024-11-08 05:03,Khouribga,S3 — Redistribution stock,-0.27,-13.7,-36.9,1.0454,0.3693,0.8372,True,0.4,0.35,0.25
SIM-0024-S1,24,ANO-0177,2024-07-30 17:54,Safi,S1 — Attendre,2.04,3.2,17.5,0.6598,-0.1754,0.4447,False,0.4,0.35,0.25
SIM-0024-S2,24,ANO-0177,2024-07-30 17:54,Safi,S2 — Fournisseur alternatif,0.69,12.8,0.6,0.8858,-0.0058,0.5738,False,0.4,0.35,0.25
SIM-0024-S3,24,ANO-0177,2024-07-30 17:54,Safi,S3 — Redistribution stock,-1.49,-19.9,-29.6,1.2489,0.2961,0.9153,True,0.4,0.35,0.25
SIM-0025-S1,25,ANO-0197,2024-02-02 11:11,Casablanca Port,S1 — Attendre,3.8,1.6,14.5,0.3672,-0.1446,0.3423,False,0.4,0.35,0.25
SIM-0025-S2,25,ANO-0197,2024-02-02 11:11,Casablanca Port,S2 — Fournisseur alternatif,0.28,11.7,3.0,0.9541,-0.0304,0.5948,False,0.4,0.35,0.25
SIM-0025-S3,25,ANO-0197,2024-02-02 11:11,Casablanca Port,S3 — Redistribution stock,-1.02,-18.2,-35.1,1.1705,0.3509,0.8965,True,0.4,0.35,0.25
SIM-0026-S1,26,ANO-0184,2024-07-18 05:29,Casablanca Port,S1 — Attendre,5.72,-1.0,20.7,0.0463,-0.2073,0.1985,False,0.4,0.35,0.25
SIM-0026-S2,26,ANO-0184,2024-07-18 05:29,Casablanca Port,S2 — Fournisseur alternatif,-0.43,18.6,-12.8,1.0718,0.1283,0.6845,False,0.4,0.35,0.25
SIM-0026-S3,26,ANO-0184,2024-07-18 05:29,Casablanca Port,S3 — Redistribution stock,-1.76,-11.8,-26.7,1.2935,0.2674,0.8944,True,0.4,0.35,0.25
SIM-0027-S1,27,ANO-0128,2024-03-08 04:32,Jorf Lasfar,S1 — Attendre,2.8,0.2,10.7,0.5328,-0.1071,0.4252,False,0.4,0.35,0.25
SIM-0027-S2,27,ANO-0128,2024-03-08 04:32,Jorf Lasfar,S2 — Fournisseur alternatif,-0.04,11.7,-14.2,1.0071,0.1424,0.6765,False,0.4,0.35,0.25
SIM-0027-S3,27,ANO-0128,2024-03-08 04:32,Jorf Lasfar,S3 — Redistribution stock,-1.22,-19.2,-29.6,1.204,0.296,0.8944,True,0.4,0.35,0.25
SIM-0028-S1,28,ANO-0112,2024-02-22 08:26,Youssoufia,S1 — Attendre,4.46,-0.6,12.9,0.2565,-0.1286,0.3091,False,0.4,0.35,0.25
SIM-0028-S2,28,ANO-0112,2024-02-22 08:26,Youssoufia,S2 — Fournisseur alternatif,0.19,10.6,3.7,0.9677,-0.0367,0.6002,False,0.4,0.35,0.25
SIM-0028-S3,28,ANO-0112,2024-02-22 08:26,Youssoufia,S3 — Redistribution stock,-0.47,-18.1,-36.8,1.0777,0.3684,0.8653,True,0.4,0.35,0.25
SIM-0029-S1,29,ANO-0146,2024-09-03 22:28,Khouribga,S1 — Attendre,2.06,-3.5,27.2,0.6572,-0.2719,0.4267,False,0.4,0.35,0.25
SIM-0029-S2,29,ANO-0146,2024-09-03 22:28,Khouribga,S2 — Fournisseur alternatif,-0.5,12.6,-5.8,1.0831,0.0576,0.6753,False,0.4,0.35,0.25
SIM-0029-S3,29,ANO-0146,2024-09-03 22:28,Khouribga,S3 — Redistribution stock,-0.2,-19.4,-34.3,1.0328,0.343,0.8435,True,0.4,0.35,0.25
SIM-0030-S1,30,ANO-0017,2024-08-14 15:39,Jorf Lasfar,S1 — Attendre,2.9,1.3,16.7,0.5165,-0.1672,0.395,False,0.4,0.35,0.25
SIM-0030-S2,30,ANO-0017,2024-08-14 15:39,Jorf Lasfar,S2 — Fournisseur alternatif,0.44,10.4,-6.2,0.9263,0.0619,0.6187,False,0.4,0.35,0.25
SIM-0030-S3,30,ANO-0017,2024-08-14 15:39,Jorf Lasfar,S3 — Redistribution stock,-0.31,-14.0,-35.7,1.0522,0.3568,0.8364,True,0.4,0.35,0.25
SIM-0031-S1,31,ANO-0141,2024-05-05 03:05,Youssoufia,S1 — Attendre,5.86,-4.4,23.7,0.0239,-0.237,0.1882,False,0.4,0.35,0.25
SIM-0031-S2,31,ANO-0141,2024-05-05 03:05,Youssoufia,S2 — Fournisseur alternatif,-0.18,18.0,-2.6,1.03,0.0263,0.633,False,0.4,0.35,0.25
SIM-0031-S3,31,ANO-0141,2024-05-05 03:05,Youssoufia,S3 — Redistribution stock,-1.66,-10.7,-34.4,1.2767,0.3444,0.9111,True,0.4,0.35,0.25
SIM-0032-S1,32,ANO-0176,2024-04-21 10:46,Khouribga,S1 — Attendre,2.93,-1.2,21.3,0.5109,-0.2125,0.383,False,0.4,0.35,0.25
SIM-0032-S2,32,ANO-0176,2024-04-21 10:46,Khouribga,S2 — Fournisseur alternatif,0.63,21.5,-12.6,0.8954,0.1261,0.608,False,0.4,0.35,0.25
SIM-0032-S3,32,ANO-0176,2024-04-21 10:46,Khouribga,S3 — Redistribution stock,-1.55,-13.7,-31.5,1.2585,0.3155,0.9036,True,0.4,0.35,0.25
SIM-0033-S1,33,ANO-0167,2024-02-27 10:02,Khouribga,S1 — Attendre,5.3,-0.2,21.4,0.1173,-0.2143,0.2225,False,0.4,0.35,0.25
SIM-0033-S2,33,ANO-0167,2024-02-27 10:02,Khouribga,S2 — Fournisseur alternatif,-0.23,20.3,-7.3,1.038,0.0726,0.6485,False,0.4,0.35,0.25
SIM-0033-S3,33,ANO-0167,2024-02-27 10:02,Khouribga,S3 — Redistribution stock,-0.18,-17.6,-32.6,1.0299,0.3264,0.8297,True,0.4,0.35,0.25
SIM-0034-S1,34,ANO-0163,2024-07-13 05:07,Benguerir,S1 — Attendre,3.82,4.2,13.1,0.3633,-0.1306,0.3396,False,0.4,0.35,0.25
SIM-0034-S2,34,ANO-0163,2024-07-13 05:07,Benguerir,S2 — Fournisseur alternatif,0.07,15.4,-12.1,0.9878,0.1211,0.6542,False,0.4,0.35,0.25
SIM-0034-S3,34,ANO-0163,2024-07-13 05:07,Benguerir,S3 — Redistribution stock,-0.73,-18.3,-25.5,1.121,0.2549,0.8434,True,0.4,0.35,0.25
SIM-0035-S1,35,ANO-0095,2024-07-18 18:45,Youssoufia,S1 — Attendre,4.96,-0.7,16.0,0.1733,-0.16,0.2651,False,0.4,0.35,0.25
SIM-0035-S2,35,ANO-0095,2024-07-18 18:45,Youssoufia,S2 — Fournisseur alternatif,-0.91,16.2,2.6,1.1525,-0.026,0.6671,False,0.4,0.35,0.25
SIM-0035-S3,35,ANO-0095,2024-07-18 18:45,Youssoufia,S3 — Redistribution stock,-0.3,-10.1,-38.1,1.0494,0.3812,0.8314,True,0.4,0.35,0.25
SIM-0036-S1,36,ANO-0104,2024-10-01 03:18,Youssoufia,S1 — Attendre,3.68,-0.8,24.7,0.3859,-0.2467,0.3201,False,0.4,0.35,0.25
SIM-0036-S2,36,ANO-0104,2024-10-01 03:18,Youssoufia,S2 — Fournisseur alternatif,-0.11,15.8,-7.7,1.0187,0.0773,0.6504,False,0.4,0.35,0.25
SIM-0036-S3,36,ANO-0104,2024-10-01 03:18,Youssoufia,S3 — Redistribution stock,-1.35,-16.0,-29.2,1.2247,0.2915,0.8896,True,0.4,0.35,0.25
SIM-0037-S1,37,ANO-0056,2024-06-08 22:32,Youssoufia,S1 — Attendre,4.85,0.7,29.0,0.1916,-0.2896,0.2236,False,0.4,0.35,0.25
SIM-0037-S2,37,ANO-0056,2024-06-08 22:32,Youssoufia,S2 — Fournisseur alternatif,0.46,21.8,-7.7,0.9236,0.0773,0.6018,False,0.4,0.35,0.25
SIM-0037-S3,37,ANO-0056,2024-06-08 22:32,Youssoufia,S3 — Redistribution stock,-1.07,-11.4,-28.1,1.1789,0.2812,0.8521,True,0.4,0.35,0.25
SIM-0038-S1,38,ANO-0079,2024-10-18 03:05,Casablanca Port,S1 — Attendre,2.85,-3.6,12.2,0.5243,-0.1217,0.4264,False,0.4,0.35,0.25
SIM-0038-S2,38,ANO-0079,2024-10-18 03:05,Casablanca Port,S2 — Fournisseur alternatif,0.3,14.5,1.7,0.9493,-0.0166,0.5922,False,0.4,0.35,0.25
SIM-0038-S3,38,ANO-0079,2024-10-18 03:05,Casablanca Port,S3 — Redistribution stock,-0.45,-13.8,-39.2,1.0751,0.3924,0.8573,True,0.4,0.35,0.25
SIM-0039-S1,39,ANO-0142,2024-06-17 16:29,Benguerir,S1 — Attendre,5.56,1.6,28.7,0.0734,-0.2874,0.1748,False,0.4,0.35,0.25
SIM-0039-S2,39,ANO-0142,2024-06-17 16:29,Benguerir,S2 — Fournisseur alternatif,-0.14,24.1,-14.5,1.0227,0.1452,0.6613,False,0.4,0.35,0.25
SIM-0039-S3,39,ANO-0142,2024-06-17 16:29,Benguerir,S3 — Redistribution stock,-1.59,-14.3,-37.4,1.2645,0.3741,0.9286,True,0.4,0.35,0.25
SIM-0040-S1,40,ANO-0040,2025-03-13 13:51,Laayoune,S1 — Attendre,4.56,0.8,26.0,0.2392,-0.2602,0.2527,False,0.4,0.35,0.25
SIM-0040-S2,40,ANO-0040,2025-03-13 13:51,Laayoune,S2 — Fournisseur alternatif,-0.7,14.7,-10.1,1.1164,0.1009,0.6997,False,0.4,0.35,0.25
SIM-0040-S3,40,ANO-0040,2025-03-13 13:51,Laayoune,S3 — Redistribution stock,-0.52,-12.4,-32.7,1.0872,0.327,0.8346,True,0.4,0.35,0.25
SIM-0041-S1,41,ANO-0161,2025-02-16 02:52,Casablanca Port,S1 — Attendre,5.5,1.8,25.7,0.0827,-0.2574,0.1887,False,0.4,0.35,0.25
SIM-0041-S2,41,ANO-0161,2025-02-16 02:52,Casablanca Port,S2 — Fournisseur alternatif,-0.83,10.1,2.2,1.1381,-0.0224,0.6744,False,0.4,0.35,0.25
SIM-0041-S3,41,ANO-0161,2025-02-16 02:52,Casablanca Port,S3 — Redistribution stock,-1.89,-11.5,-35.3,1.3157,0.353,0.9323,True,0.4,0.35,0.25
SIM-0042-S1,42,ANO-0191,2024-10-04 01:18,Youssoufia,S1 — Attendre,2.6,-2.9,26.8,0.5663,-0.2681,0.39,False,0.4,0.35,0.25
SIM-0042-S2,42,ANO-0191,2024-10-04 01:18,Youssoufia,S2 — Fournisseur alternatif,-0.27,23.6,-3.3,1.0457,0.0333,0.6321,False,0.4,0.35,0.25
SIM-0042-S3,42,ANO-0191,2024-10-04 01:18,Youssoufia,S3 — Redistribution stock,-0.34,-15.2,-29.4,1.0572,0.2945,0.8209,True,0.4,0.35,0.25
SIM-0043-S1,43,ANO-0026,2024-08-13 01:09,Benguerir,S1 — Attendre,5.21,-3.4,27.6,0.1318,-0.2761,0.2149,False,0.4,0.35,0.25
SIM-0043-S2,43,ANO-0026,2024-08-13 01:09,Benguerir,S2 — Fournisseur alternatif,-0.67,11.8,3.2,1.1122,-0.032,0.6573,False,0.4,0.35,0.25
SIM-0043-S3,43,ANO-0026,2024-08-13 01:09,Benguerir,S3 — Redistribution stock,-1.18,-14.4,-30.6,1.1968,0.3057,0.8777,True,0.4,0.35,0.25
SIM-0044-S1,44,ANO-0064,2024-08-06 10:35,Casablanca Port,S1 — Attendre,5.9,1.6,12.9,0.0159,-0.1293,0.2071,False,0.4,0.35,0.25
SIM-0044-S2,44,ANO-0064,2024-08-06 10:35,Casablanca Port,S2 — Fournisseur alternatif,-0.11,21.3,-12.3,1.0184,0.1229,0.6564,False,0.4,0.35,0.25
SIM-0044-S3,44,ANO-0064,2024-08-06 10:35,Casablanca Port,S3 — Redistribution stock,-1.24,-16.2,-37.4,1.2064,0.3744,0.9119,True,0.4,0.35,0.25
SIM-0045-S1,45,ANO-0177,2024-01-16 11:58,Jorf Lasfar,S1 — Attendre,5.95,-1.4,18.8,0.0082,-0.1882,0.1909,False,0.4,0.35,0.25
SIM-0045-S2,45,ANO-0177,2024-01-16 11:58,Jorf Lasfar,S2 — Fournisseur alternatif,0.14,16.7,-14.6,0.976,0.146,0.6557,False,0.4,0.35,0.25
SIM-0045-S3,45,ANO-0177,2024-01-16 11:58,Jorf Lasfar,S3 — Redistribution stock,-1.02,-13.3,-34.8,1.1694,0.3484,0.878,True,0.4,0.35,0.25
SIM-0046-S1,46,ANO-0095,2024-09-20 21:53,Khouribga,S1 — Attendre,2.28,-3.7,16.0,0.6207,-0.16,0.4518,False,0.4,0.35,0.25
SIM-0046-S2,46,ANO-0095,2024-09-20 21:53,Khouribga,S2 — Fournisseur alternatif,-0.21,12.2,4.9,1.0355,-0.0486,0.6199,False,0.4,0.35,0.25
SIM-0046-S3,46,ANO-0095,2024-09-20 21:53,Khouribga,S3 — Redistribution stock,-0.42,-13.3,-25.6,1.0697,0.2558,0.8058,True,0.4,0.35,0.25
SIM-0047-S1,47,ANO-0183,2024-09-06 02:15,Benguerir,S1 — Attendre,5.17,2.9,17.1,0.1381,-0.1709,0.2385,False,0.4,0.35,0.25
SIM-0047-S2,47,ANO-0183,2024-09-06 02:15,Benguerir,S2 — Fournisseur alternatif,0.97,17.4,-2.6,0.8388,0.0256,0.5574,False,0.4,0.35,0.25
SIM-0047-S3,47,ANO-0183,2024-09-06 02:15,Benguerir,S3 — Redistribution stock,-0.82,-10.1,-34.5,1.1366,0.3452,0.8535,True,0.4,0.35,0.25
SIM-0048-S1,48,ANO-0132,2024-07-15 06:57,Youssoufia,S1 — Attendre,3.12,0.2,28.3,0.4798,-0.2832,0.3423,False,0.4,0.35,0.25
SIM-0048-S2,48,ANO-0132,2024-07-15 06:57,Youssoufia,S2 — Fournisseur alternatif,-0.02,23.6,-14.0,1.0035,0.1396,0.6525,False,0.4,0.35,0.25
SIM-0048-S3,48,ANO-0132,2024-07-15 06:57,Youssoufia,S3 — Redistribution stock,-1.52,-16.9,-33.3,1.2537,0.3327,0.9189,True,0.4,0.35,0.25
SIM-0049-S1,49,ANO-0011,2024-12-02 06:46,Benguerir,S1 — Attendre,3.09,5.0,23.1,0.4848,-0.2313,0.3511,False,0.4,0.35,0.25
SIM-0049-S2,49,ANO-0011,2024-12-02 06:46,Benguerir,S2 — Fournisseur alternatif,0.32,15.0,-14.4,0.9469,0.1437,0.6465,False,0.4,0.35,0.25
SIM-0049-S3,49,ANO-0011,2024-12-02 06:46,Benguerir,S3 — Redistribution stock,-0.26,-10.7,-39.8,1.0427,0.3984,0.8366,True,0.4,0.35,0.25
SIM-0050-S1,50,ANO-0078,2025-03-21 13:39,Khouribga,S1 — Attendre,3.52,4.0,17.6,0.4129,-0.176,0.3438,False,0.4,0.35,0.25
SIM-0050-S2,50,ANO-0078,2025-03-21 13:39,Khouribga,S2 — Fournisseur alternatif,-0.93,20.1,-1.1,1.1547,0.0106,0.6738,False,0.4,0.35,0.25
SIM-0050-S3,50,ANO-0078,2025-03-21 13:39,Khouribga,S3 — Redistribution stock,-1.33,-12.0,-27.2,1.2215,0.272,0.8678,True,0.4,0.35,0.25
